,date,team,against,home,goalie,dec,SA,SV,TOI
0,2013-01-25,ANA,VAN,h,Jonas Hiller,L,34,29,59:57
1,2013-01-25,VAN,ANA,@,Cory Schneider,W,30,30,59:36
2,2013-01-26,ANA,NSH,h,Viktor Fasth,W,21,19,64:58
3,2013-01-26,NSH,ANA,@,Pekka Rinne,O,22,20,64:43
4,2013-02-01,ANA,MIN,h,Viktor Fasth,W,27,26,60:00
5,2013-02-01,MIN,ANA,@,Niklas Backstrom,L,31,28,58:47
6,2013-02-02,ANA,LAK,h,Jonas Hiller,W,34,30,60:00
7,2013-02-02,LAK,ANA,@,Jonathan Bernier,L,21,17,53:11
8,2013-02-04,ANA,SJS,h,Viktor Fasth,W,26,25,59:48
9,2013-02-04,SJS,ANA,@,Thomas Greiss,L,32,30,58:43
10,2013-02-18,ANA,CBJ,h,Jonas Hiller,W,27,25,60:00
11,2013-02-18,CBJ,ANA,@,Sergei Bobrovsky,L,29,26,58:49
12,2013-02-24,ANA,COL,h,Jonas Hiller,W,23,20,64:14
13,2013-02-24,COL,ANA,@,Jean-Sebastien Giguere,O,39,35,64:14
14,2013-02-27,ANA,NSH,h,Viktor Fasth,W,21,20,59:40
15,2013-02-27,NSH,ANA,@,Pekka Rinne,L,21,16,40:00
16,2013-03-01,ANA,MIN,h,Jonas Hiller,W,33,31,60:00
17,2013-03-01,MIN,ANA,@,Darcy Kuemper,L,29,26,58:09
18,2013-03-06,ANA,PHX,h,Jonas Hiller,W,18,18,60:00
19,2013-03-06,PHX,ANA,@,Jason LaBarbera,L,23,22,59:34
20,2013-03-08,ANA,CGY,h,Viktor Fasth,W,29,29,59:59
21,2013-03-08,CGY,ANA,@,Miikka Kiprusoff,L,24,20,60:00
22,2013-03-10,ANA,STL,h,Jonas Hiller,W,31,29,60:00
23,2013-03-10,STL,ANA,@,Jaroslav Halak,L,21,18,59:34
24,2013-03-18,ANA,SJS,h,Viktor Fasth,W,35,32,60:00
25,2013-03-18,SJS,ANA,@,Antti Niemi,L,27,23,59:19
26,2013-03-20,ANA,CHI,h,Jonas Hiller,W,24,22,60:00
27,2013-03-20,CHI,ANA,@,Corey Crawford,L,25,22,59:25
28,2013-03-22,ANA,DET,h,Jonas Hiller,\,12,10,36:54
29,2013-03-22,DET,ANA,@,Jimmy Howard,W,34,33,60:00
30,2013-03-24,ANA,DET,h,Jonas Hiller,L,21,19,59:22
31,2013-03-24,DET,ANA,@,Jimmy Howard,W,34,33,59:50
32,2013-03-25,ANA,SJS,h,Viktor Fasth,L,38,34,59:19
33,2013-03-25,SJS,ANA,@,Antti Niemi,W,27,24,60:00
34,2013-04-03,ANA,DAL,h,Viktor Fasth,W,25,23,59:48
35,2013-04-03,DAL,ANA,@,Kari Lehtonen,L,26,22,59:14
36,2013-04-05,ANA,DAL,h,Viktor Fasth,L,25,22,59:55
