,date,team,against,home,goalie,dec,SA,SV,TOI
0,2013-10-10,ANA,NYR,h,Jonas Hiller,W,34,34,60:00
1,2013-10-10,NYR,ANA,@,Henrik Lundqvist,L,37,31,60:00
2,2013-10-13,ANA,OTT,h,Jonas Hiller,W,31,30,59:34
3,2013-10-13,OTT,ANA,@,Robin Lehner,\,47,45,55:54
4,2013-10-16,ANA,CGY,h,Viktor Fasth,W,35,33,60:00
5,2013-10-16,CGY,ANA,@,Joey MacDonald,L,22,19,58:51
6,2013-10-18,ANA,PHX,h,Jonas Hiller,W,32,30,64:58
7,2013-10-18,PHX,ANA,@,Mike Smith,O,39,37,65:00
8,2013-10-20,ANA,DAL,h,Frederik Andersen,W,24,24,40:00
9,2013-10-20,DAL,ANA,@,Jack Campbell,L,47,41,60:00
10,2013-11-06,ANA,PHX,h,Jonas Hiller,W,26,24,59:43
11,2013-11-06,PHX,ANA,@,Mike Smith,L,28,24,59:41
12,2013-11-08,ANA,BUF,h,Frederik Andersen,W,27,25,60:00
13,2013-11-08,BUF,ANA,@,Ryan Miller,L,34,28,40:00
14,2013-11-10,ANA,VAN,h,Frederik Andersen,W,36,35,60:00
15,2013-11-10,VAN,ANA,@,Eddie Lack,L,22,20,59:07
16,2013-11-20,ANA,NJD,h,Jonas Hiller,O,25,21,61:58
17,2013-11-20,NJD,ANA,@,Martin Brodeur,W,25,22,61:27
18,2013-11-22,ANA,TBL,h,Jonas Hiller,W,31,31,64:54
19,2013-11-22,TBL,ANA,@,Ben Bishop,O,42,41,64:54
20,2013-11-29,ANA,CGY,h,Frederik Andersen,W,21,19,60:00
21,2013-11-29,CGY,ANA,@,Reto Berra,L,38,33,51:26
22,2013-12-03,ANA,LAK,h,Jonas Hiller,O,51,49,64:55
23,2013-12-03,LAK,ANA,@,Martin Jones,W,28,26,64:05
24,2013-12-09,ANA,NYI,h,Jonas Hiller,W,37,35,60:00
25,2013-12-09,NYI,ANA,@,Anders Nilsson,L,31,26,60:00
26,2013-12-11,ANA,MIN,h,Jonas Hiller,W,24,23,59:51
27,2013-12-11,MIN,ANA,@,Josh Harding,L,31,29,58:49
28,2013-12-15,ANA,EDM,h,Jonas Hiller,W,25,23,59:58
29,2013-12-15,EDM,ANA,@,Ilya Bryzgalov,L,34,31,59:02
30,2013-12-28,ANA,PHX,h,Jonas Hiller,W,25,23,60:43
31,2013-12-28,PHX,ANA,@,Thomas Greiss,O,41,38,60:20
32,2013-12-31,ANA,SJS,h,Jonas Hiller,W,36,33,60:00
33,2013-12-31,SJS,ANA,@,Antti Niemi,L,34,29,41:06
34,2014-01-03,ANA,EDM,h,Jonas Hiller,W,18,16,59:53
35,2014-01-03,EDM,ANA,@,Ilya Bryzgalov,L,37,32,58:22
36,2014-01-05,ANA,VAN,h,Jonas Hiller,W,20,17,64:58
37,2014-01-05,VAN,ANA,@,Eddie Lack,O,49,45,64:58
38,2014-01-07,ANA,BOS,h,Jonas Hiller,W,32,30,59:56
39,2014-01-07,BOS,ANA,@,Tuukka Rask,L,20,15,60:00
40,2014-01-12,ANA,DET,h,Jonas Hiller,W,22,22,60:00
41,2014-01-12,DET,ANA,@,Petr Mrazek,L,23,22,58:37
42,2014-01-15,ANA,VAN,h,Frederik Andersen,W,32,31,59:58
43,2014-01-15,VAN,ANA,@,Joacim Eriksson,\,31,25,36:02
44,2014-01-21,ANA,WPG,h,Jonas Hiller,L,11,8,35:43
45,2014-01-21,WPG,ANA,@,Ondrej Pavelec,W,42,40,60:00
46,2014-01-23,ANA,LAK,h,Frederik Andersen,W,31,30,60:00
47,2014-01-23,LAK,ANA,@,Jonathan Quick,L,21,19,58:49
48,2014-01-28,ANA,MIN,h,Jonas Hiller,L,33,29,58:31
49,2014-01-28,MIN,ANA,@,Darcy Kuemper,W,33,31,60:00
50,2014-01-30,ANA,PHI,h,Frederik Andersen,W,30,27,60:00
51,2014-01-30,PHI,ANA,@,Steve Mason,L,27,23,57:44
52,2014-02-01,ANA,DAL,h,Jonas Hiller,L,26,25,59:20
53,2014-02-01,DAL,ANA,@,Dan Ellis,W,26,26,60:00
54,2014-02-03,ANA,CBJ,h,Frederik Andersen,L,33,29,58:30
55,2014-02-03,CBJ,ANA,@,Sergei Bobrovsky,W,36,34,60:00
56,2014-02-05,ANA,CHI,h,Jonas Hiller,L,25,23,58:39
57,2014-02-05,CHI,ANA,@,Corey Crawford,W,29,29,60:00
58,2014-02-28,ANA,STL,h,Jonas Hiller,W,18,18,60:00
59,2014-02-28,STL,ANA,@,Brian Elliott,L,19,18,59:06
60,2014-03-02,ANA,CAR,h,Frederik Andersen,W,52,49,60:00
61,2014-03-02,CAR,ANA,@,Cam Ward,L,34,29,59:54
62,2014-03-05,ANA,MTL,h,Jonas Hiller,O,31,28,64:53
63,2014-03-05,MTL,ANA,@,Dustin Tokarski,W,42,39,65:00
64,2014-03-07,ANA,PIT,h,Jonas Hiller,O,17,15,64:49
65,2014-03-07,PIT,ANA,@,Marc-Andre Fleury,W,31,29,65:00
66,2014-03-10,ANA,TOR,h,Frederik Andersen,L,23,20,57:44
67,2014-03-10,TOR,ANA,@,Jonathan Bernier,W,44,43,60:00
68,2014-03-18,ANA,WSH,h,Jonas Hiller,L,30,27,58:38
69,2014-03-18,WSH,ANA,@,Jaroslav Halak,W,45,43,59:58
70,2014-03-23,ANA,FLA,h,Jonas Hiller,W,30,28,59:53
71,2014-03-23,FLA,ANA,@,Dan Ellis,L,40,34,60:00
72,2014-03-31,ANA,WPG,h,Frederik Andersen,W,37,33,59:14
73,2014-03-31,WPG,ANA,@,Ondrej Pavelec,O,36,31,60:16
74,2014-04-02,ANA,EDM,h,Frederik Andersen,W,32,30,60:00
75,2014-04-02,EDM,ANA,@,Viktor Fasth,L,26,23,59:17
76,2014-04-04,ANA,NSH,h,Jonas Hiller,L,17,13,37:05
77,2014-04-04,NSH,ANA,@,Pekka Rinne,W,29,27,59:58
78,2014-04-09,ANA,SJS,h,John Gibson,W,38,36,60:00
79,2014-04-09,SJS,ANA,@,Alex Stalock,\,10,9,30:10
80,2014-04-13,ANA,COL,h,John Gibson,W,31,29,61:16
81,2014-04-13,COL,ANA,@,Jean-Sebastien Giguere,O,36,33,61:33
82,2013-10-02,COL,ANA,h,Semyon Varlamov,W,36,35,60:00
83,2013-10-02,ANA,COL,@,Viktor Fasth,L,29,23,60:00
84,2013-10-04,COL,NSH,h,Semyon Varlamov,W,27,26,59:48
85,2013-10-04,NSH,COL,@,Pekka Rinne,L,35,33,59:06
86,2013-10-15,COL,DAL,h,Semyon Varlamov,W,41,39,59:18
87,2013-10-15,DAL,COL,@,Dan Ellis,L,26,23,58:35
88,2013-10-17,COL,DET,h,Semyon Varlamov,L,28,24,57:53
89,2013-10-17,DET,COL,@,Jonas Gustavsson,W,40,38,59:50
90,2013-10-25,COL,CAR,h,Semyon Varlamov,W,30,28,60:00
91,2013-10-25,CAR,COL,@,Justin Peters,L,34,30,58:20
92,2013-10-27,COL,WPG,h,Semyon Varlamov,W,25,23,59:53
93,2013-10-27,WPG,COL,@,Al Montoya,L,36,33,58:39
94,2013-11-02,COL,MTL,h,Jean-Sebastien Giguere,W,30,29,60:00
95,2013-11-02,MTL,COL,@,Peter Budaj,L,30,27,59:45
96,2013-11-06,COL,NSH,h,Semyon Varlamov,L,27,22,58:44
97,2013-11-06,NSH,COL,@,Carter Hutton,W,31,27,60:00
98,2013-11-08,COL,CGY,h,Jean-Sebastien Giguere,W,32,30,60:00
99,2013-11-08,CGY,COL,@,Karri Ramo,L,26,23,58:40
100,2013-11-10,COL,WSH,h,Semyon Varlamov,W,34,33,60:00
101,2013-11-10,WSH,COL,@,Braden Holtby,L,37,33,60:00
102,2013-11-16,COL,FLA,h,Semyon Varlamov,L,33,29,59:58
103,2013-11-16,FLA,COL,@,Tim Thomas,W,33,32,60:00
104,2013-11-19,COL,CHI,h,Semyon Varlamov,W,37,36,60:00
105,2013-11-19,CHI,COL,@,Antti Raanta,\,16,14,46:43
106,2013-11-27,COL,STL,h,Semyon Varlamov,L,34,31,58:55
107,2013-11-27,STL,COL,@,Jaroslav Halak,W,26,25,60:00
108,2013-11-30,COL,MIN,h,Semyon Varlamov,W,37,35,65:00
109,2013-11-30,MIN,COL,@,Josh Harding,O,25,23,64:30
110,2013-12-10,COL,PHX,h,Semyon Varlamov,L,25,22,58:54
111,2013-12-10,PHX,COL,@,Thomas Greiss,W,30,29,60:00
112,2013-12-14,COL,MIN,h,Semyon Varlamov,O,27,26,65:00
113,2013-12-14,MIN,COL,@,Josh Harding,W,27,26,65:00
114,2013-12-16,COL,DAL,h,Semyon Varlamov,W,33,31,59:54
115,2013-12-16,DAL,COL,@,Kari Lehtonen,L,48,42,59:52
116,2013-12-19,COL,EDM,h,Semyon Varlamov,W,29,27,59:50
117,2013-12-19,EDM,COL,@,Devan Dubnyk,L,38,35,58:04
118,2013-12-29,COL,WPG,h,Semyon Varlamov,O,37,35,64:58
119,2013-12-29,WPG,COL,@,Al Montoya,W,34,33,64:58
120,2013-12-31,COL,CBJ,h,Semyon Varlamov,W,38,35,60:00
121,2013-12-31,CBJ,COL,@,Curtis McElhinney,L,23,18,59:27
122,2014-01-02,COL,PHI,h,Semyon Varlamov,W,30,29,59:59
123,2014-01-02,PHI,COL,@,Steve Mason,L,31,29,58:33
124,2014-01-04,COL,SJS,h,Semyon Varlamov,W,33,30,60:00
125,2014-01-04,SJS,COL,@,Alex Stalock,L,7,6,32:35
126,2014-01-06,COL,CGY,h,Jean-Sebastien Giguere,L,19,15,58:19
127,2014-01-06,CGY,COL,@,Karri Ramo,W,25,22,60:00
