,date,team,against,home,goalie,dec,SA,SV,TOI
0,2015-10-10,ARI,PIT,h,Mike Smith,W,28,27,60:00
1,2015-10-10,PIT,ARI,@,Marc-Andre Fleury,L,39,37,59:00
2,2015-10-15,ARI,MIN,h,Anders Lindback,L,7,6,31:23
3,2015-10-15,MIN,ARI,@,Devan Dubnyk,W,30,27,60:00
4,2015-10-17,ARI,BOS,h,Mike Smith,L,43,38,59:11
5,2015-10-17,BOS,ARI,@,Tuukka Rask,W,23,20,60:00
6,2015-10-30,ARI,VAN,h,Anders Lindback,L,19,17,53:52
7,2015-10-30,VAN,ARI,@,Richard Bachman,W,31,28,59:52
8,2015-11-05,ARI,COL,h,Mike Smith,W,28,26,60:00
9,2015-11-05,COL,ARI,@,Semyon Varlamov,L,27,24,59:01
10,2015-11-07,ARI,NYR,h,Anders Lindback,,13,12,34:19
11,2015-11-07,NYR,ARI,@,Antti Raanta,W,40,39,60:00
12,2015-11-12,ARI,EDM,h,Mike Smith,W,28,27,59:54
13,2015-11-12,EDM,ARI,@,Anders Nilsson,L,21,17,60:00
14,2015-11-25,ARI,ANA,h,Mike Smith,W,31,29,60:00
15,2015-11-25,ANA,ARI,@,John Gibson,L,33,30,59:47
16,2015-11-27,ARI,CGY,h,Mike Smith,W,26,25,64:20
17,2015-11-27,CGY,ARI,@,Karri Ramo,O,21,19,64:20
18,2015-11-28,ARI,OTT,h,Anders Lindback,W,38,35,60:00
19,2015-11-28,OTT,ARI,@,Craig Anderson,L,19,15,58:26
20,2015-12-11,ARI,MIN,h,Anders Lindback,W,28,27,60:13
21,2015-12-11,MIN,ARI,@,Darcy Kuemper,O,21,19,60:34
22,2015-12-12,ARI,CAR,h,Anders Lindback,O,33,28,59:37
23,2015-12-12,CAR,ARI,@,Eddie Lack,W,29,25,60:53
24,2015-12-17,ARI,CBJ,h,Anders Lindback,,10,6,30:23
25,2015-12-17,CBJ,ARI,@,Curtis McElhinney,W,32,27,60:00
26,2015-12-19,ARI,NYI,h,Louis Domingue,W,25,25,60:00
27,2015-12-19,NYI,ARI,@,Jaroslav Halak,L,29,28,58:55
28,2015-12-22,ARI,TOR,h,Louis Domingue,W,39,37,60:00
29,2015-12-22,TOR,ARI,@,Jonathan Bernier,L,26,23,57:52
30,2015-12-26,ARI,LAK,h,Louis Domingue,O,33,29,60:34
31,2015-12-26,LAK,ARI,@,Jonathan Quick,W,27,24,60:36
32,2015-12-29,ARI,CHI,h,Louis Domingue,L,22,19,39:12
33,2015-12-29,CHI,ARI,@,Corey Crawford,W,37,32,60:00
34,2015-12-31,ARI,WPG,h,Louis Domingue,W,37,35,59:49
35,2015-12-31,WPG,ARI,@,Connor Hellebuyck,L,20,17,57:59
36,2016-01-09,ARI,NSH,h,Louis Domingue,W,26,26,59:56
37,2016-01-09,NSH,ARI,@,Carter Hutton,L,28,25,59:07
38,2016-01-12,ARI,EDM,h,Louis Domingue,W,28,25,64:49
39,2016-01-12,EDM,ARI,@,Anders Nilsson,O,31,27,64:51
40,2016-01-14,ARI,DET,h,Louis Domingue,O,25,22,62:08
41,2016-01-14,DET,ARI,@,Petr Mrazek,W,29,27,62:08
42,2016-01-16,ARI,NJD,h,Anders Lindback,L,16,14,57:11
43,2016-01-16,NJD,ARI,@,Cory Schneider,W,38,38,59:59
44,2016-01-18,ARI,BUF,h,Louis Domingue,L,28,26,58:22
45,2016-01-18,BUF,ARI,@,Chad Johnson,W,27,26,60:00
46,2016-01-21,ARI,SJS,h,Louis Domingue,L,22,20,58:51
47,2016-01-21,SJS,ARI,@,Martin Jones,W,24,23,59:57
48,2016-01-23,ARI,LAK,h,Louis Domingue,W,28,26,60:00
49,2016-01-23,LAK,ARI,@,Jonathan Quick,L,24,21,60:00
50,2016-02-02,ARI,LAK,h,Louis Domingue,L,25,20,43:05
51,2016-02-02,LAK,ARI,@,Jonathan Quick,W,26,24,59:42
52,2016-02-04,ARI,CHI,h,Louis Domingue,O,40,35,64:29
53,2016-02-04,CHI,ARI,@,Corey Crawford,W,28,24,64:27
54,2016-02-10,ARI,VAN,h,Louis Domingue,L,26,24,58:46
55,2016-02-10,VAN,ARI,@,Ryan Miller,W,34,33,60:00
56,2016-02-12,ARI,CGY,h,Louis Domingue,W,27,26,59:47
57,2016-02-12,CGY,ARI,@,Jonas Hiller,L,35,31,59:47
58,2016-02-15,ARI,MTL,h,Louis Domingue,W,19,17,60:00
59,2016-02-15,MTL,ARI,@,Mike Condon,L,27,21,60:00
60,2016-02-18,ARI,DAL,h,Louis Domingue,W,39,36,59:52
61,2016-02-18,DAL,ARI,@,Antti Niemi,L,41,36,59:17
62,2016-02-20,ARI,STL,h,Louis Domingue,L,35,30,48:59
63,2016-02-20,STL,ARI,@,Brian Elliott,W,22,18,60:00
64,2016-03-03,ARI,ANA,h,Niklas Treutle,L,16,11,39:48
65,2016-03-03,ANA,ARI,@,Frederik Andersen,W,28,27,59:41
66,2016-03-05,ARI,FLA,h,Louis Domingue,W,33,32,60:00
67,2016-03-05,FLA,ARI,@,Al Montoya,L,26,21,59:58
68,2016-03-17,ARI,SJS,h,Mike Smith,W,28,27,60:00
69,2016-03-17,SJS,ARI,@,Martin Jones,L,21,19,59:40
70,2016-03-19,ARI,TBL,h,Louis Domingue,L,35,34,59:09
71,2016-03-19,TBL,ARI,@,Ben Bishop,W,32,32,60:00
72,2016-03-22,ARI,EDM,h,Mike Smith,W,29,27,60:00
73,2016-03-22,EDM,ARI,@,Cam Talbot,L,30,27,58:44
74,2016-03-24,ARI,DAL,h,Louis Domingue,W,38,37,59:55
75,2016-03-24,DAL,ARI,@,Kari Lehtonen,L,30,27,57:40
76,2016-03-26,ARI,PHI,h,Mike Smith,W,35,34,59:39
77,2016-03-26,PHI,ARI,@,Steve Mason,L,17,15,57:20
78,2016-03-28,ARI,CGY,h,Louis Domingue,L,20,16,58:39
79,2016-03-28,CGY,ARI,@,Joni Ortio,W,24,22,60:00
80,2016-04-02,ARI,WSH,h,Mike Smith,W,31,31,60:00
81,2016-04-02,WSH,ARI,@,Philipp Grubauer,L,27,24,60:00
82,2015-10-12,ANA,VAN,h,Frederik Andersen,O,25,24,65:00
83,2015-10-12,VAN,ANA,@,Ryan Miller,W,29,28,65:00
84,2015-10-14,ANA,ARI,h,Frederik Andersen,,21,20,47:07
85,2015-10-14,ARI,ANA,@,Mike Smith,W,37,37,60:00
86,2015-10-16,ANA,COL,h,Frederik Andersen,L,24,22,58:55
87,2015-10-16,COL,ANA,@,Reto Berra,W,35,35,60:00
88,2015-10-18,ANA,MIN,h,Anton Khudobin,W,35,34,60:00
89,2015-10-18,MIN,ANA,@,Devan Dubnyk,L,21,18,58:39
90,2015-11-01,ANA,NSH,h,Frederik Andersen,W,42,40,60:00
91,2015-11-01,NSH,ANA,@,Carter Hutton,L,28,24,57:16
92,2015-11-04,ANA,FLA,h,Frederik Andersen,W,25,23,63:50
93,2015-11-04,FLA,ANA,@,Roberto Luongo,O,39,37,65:00
94,2015-11-06,ANA,CBJ,h,Frederik Andersen,W,36,34,59:47
95,2015-11-06,CBJ,ANA,@,Curtis McElhinney,L,33,30,58:15
96,2015-11-09,ANA,ARI,h,Frederik Andersen,O,28,24,61:18
97,2015-11-09,ARI,ANA,@,Anders Lindback,W,36,33,61:03
98,2015-11-11,ANA,EDM,h,Frederik Andersen,O,27,23,61:16
99,2015-11-11,EDM,ANA,@,Anders Nilsson,W,37,34,61:16
100,2015-11-13,ANA,NYI,h,Anton Khudobin,L,29,25,60:00
101,2015-11-13,NYI,ANA,@,Thomas Greiss,W,25,24,60:00
102,2015-11-24,ANA,CGY,h,John Gibson,W,20,19,49:21
103,2015-11-24,CGY,ANA,@,Karri Ramo,L,31,27,58:00
104,2015-11-27,ANA,CHI,h,John Gibson,O,32,29,61:33
105,2015-11-27,CHI,ANA,@,Corey Crawford,W,25,23,59:37
106,2015-11-30,ANA,VAN,h,John Gibson,W,25,25,59:59
107,2015-11-30,VAN,ANA,@,Ryan Miller,L,29,25,48:39
108,2015-12-02,ANA,TBL,h,John Gibson,L,22,20,58:42
109,2015-12-02,TBL,ANA,@,Ben Bishop,W,33,32,60:00
110,2015-12-04,ANA,SJS,h,John Gibson,W,23,23,59:42
111,2015-12-04,SJS,ANA,@,Martin Jones,L,26,25,59:10
112,2015-12-06,ANA,PIT,h,John Gibson,W,24,23,60:00
113,2015-12-06,PIT,ANA,@,Marc-Andre Fleury,L,25,23,58:12
114,2015-12-11,ANA,CAR,h,John Gibson,L,17,14,40:00
115,2015-12-11,CAR,ANA,@,Eddie Lack,W,32,31,60:00
116,2015-12-27,ANA,PHI,h,John Gibson,W,26,24,60:00
117,2015-12-27,PHI,ANA,@,Steve Mason,L,37,33,58:58
118,2016-01-03,ANA,WPG,h,John Gibson,W,20,19,59:57
119,2016-01-03,WPG,ANA,@,Michael Hutchinson,L,35,31,59:41
120,2016-01-06,ANA,TOR,h,John Gibson,L,25,22,40:41
121,2016-01-06,TOR,ANA,@,Jonathan Bernier,W,39,39,60:00
122,2016-01-08,ANA,STL,h,John Gibson,W,28,25,64:57
123,2016-01-08,STL,ANA,@,Brian Elliott,O,27,25,37:57
124,2016-01-10,ANA,DET,h,John Gibson,L,24,22,58:03
125,2016-01-10,DET,ANA,@,Petr Mrazek,W,31,30,60:00
126,2016-01-13,ANA,OTT,h,Frederik Andersen,W,25,24,60:00
127,2016-01-13,OTT,ANA,@,Craig Anderson,L,38,34,59:49
128,2016-01-15,ANA,DAL,h,Frederik Andersen,W,24,22,60:00
129,2016-01-15,DAL,ANA,@,Kari Lehtonen,L,35,31,57:58
130,2016-01-17,ANA,LAK,h,John Gibson,L,26,23,59:38
131,2016-01-17,LAK,ANA,@,Jonathan Quick,W,32,30,60:00
132,2016-01-20,ANA,MIN,h,John Gibson,W,26,25,59:41
133,2016-01-20,MIN,ANA,@,Devan Dubnyk,L,26,24,59:11
134,2016-02-02,ANA,SJS,h,Frederik Andersen,W,32,30,60:00
135,2016-02-02,SJS,ANA,@,Martin Jones,L,25,22,58:11
136,2016-02-05,ANA,ARI,h,Frederik Andersen,W,25,23,59:38
137,2016-02-05,ARI,ANA,@,Anders Lindback,L,41,36,60:00
138,2016-02-21,ANA,CGY,h,John Gibson,W,24,22,60:00
139,2016-02-21,CGY,ANA,@,Jonas Hiller,L,33,28,59:47
140,2016-02-24,ANA,BUF,h,Frederik Andersen,W,26,26,60:00
141,2016-02-24,BUF,ANA,@,Robin Lehner,L,29,28,59:15
142,2016-02-26,ANA,EDM,h,Frederik Andersen,W,18,17,61:18
143,2016-02-26,EDM,ANA,@,Cam Talbot,O,34,32,61:24
144,2016-02-28,ANA,LAK,h,John Gibson,W,29,27,59:47
145,2016-02-28,LAK,ANA,@,Jonathan Quick,L,29,25,57:29
146,2016-03-02,ANA,MTL,h,John Gibson,W,27,25,65:00
147,2016-03-02,MTL,ANA,@,Mike Condon,O,35,33,64:55
148,2016-03-07,ANA,WSH,h,John Gibson,O,32,31,64:49
149,2016-03-07,WSH,ANA,@,Braden Holtby,W,28,27,65:00
150,2016-03-14,ANA,NJD,h,Frederik Andersen,W,25,24,59:56
151,2016-03-14,NJD,ANA,@,Keith Kinkaid,L,24,18,46:16
152,2016-03-16,ANA,NYR,h,John Gibson,L,23,21,59:12
153,2016-03-16,NYR,ANA,@,Antti Raanta,W,23,22,60:00
154,2016-03-18,ANA,BOS,h,Frederik Andersen,W,38,38,60:00
155,2016-03-18,BOS,ANA,@,Jonas Gustavsson,L,26,22,60:00
156,2016-03-30,ANA,CGY,h,John Gibson,W,21,21,48:28
157,2016-03-30,CGY,ANA,@,Niklas Backstrom,L,22,17,53:09
158,2016-04-01,ANA,VAN,h,John Gibson,L,28,25,57:56
159,2016-04-01,VAN,ANA,@,Jacob Markstrom,W,36,34,59:42
160,2016-04-03,ANA,DAL,h,John Gibson,W,25,24,60:00
161,2016-04-03,DAL,ANA,@,Antti Niemi,L,24,22,58:02
162,2016-04-05,ANA,WPG,h,John Gibson,O,26,24,63:07
163,2016-04-05,WPG,ANA,@,Michael Hutchinson,W,28,27,63:07
164,2015-10-08,COL,MIN,h,Semyon Varlamov,L,30,25,58:26
165,2015-10-08,MIN,COL,@,Devan Dubnyk,W,23,19,60:00
166,2015-10-10,COL,DAL,h,Semyon Varlamov,W,33,30,60:00
167,2015-10-10,DAL,COL,@,Antti Niemi,L,28,22,60:00
168,2015-10-14,COL,BOS,h,Semyon Varlamov,L,19,14,35:32
169,2015-10-14,BOS,COL,@,Jonas Gustavsson,W,22,20,60:00
170,2015-10-21,COL,CAR,h,Semyon Varlamov,O,19,18,61:49
171,2015-10-21,CAR,COL,@,Cam Ward,W,26,26,61:47
172,2015-10-24,COL,CBJ,h,Semyon Varlamov,L,36,32,59:05
173,2015-10-24,CBJ,COL,@,Sergei Bobrovsky,W,34,31,60:00
174,2015-11-01,COL,SJS,h,Semyon Varlamov,L,31,28,58:53
175,2015-11-01,SJS,COL,@,Martin Jones,W,26,23,60:00
176,2015-11-03,COL,CGY,h,Semyon Varlamov,W,25,22,60:00
177,2015-11-03,CGY,COL,@,Karri Ramo,L,41,36,59:52
178,2015-11-06,COL,NYR,h,Reto Berra,L,33,31,58:18
179,2015-11-06,NYR,COL,@,Henrik Lundqvist,W,30,29,60:00
180,2015-11-25,COL,OTT,h,Reto Berra,L,13,12,35:18
181,2015-11-25,OTT,COL,@,Craig Anderson,W,43,40,60:00
182,2015-11-28,COL,WPG,h,Semyon Varlamov,W,28,25,60:00
183,2015-11-28,WPG,COL,@,Michael Hutchinson,L,24,20,59:13
184,2015-12-07,COL,MIN,h,Semyon Varlamov,W,20,19,63:35
185,2015-12-07,MIN,COL,@,Darcy Kuemper,O,20,18,63:35
186,2015-12-09,COL,PIT,h,Reto Berra,L,33,29,57:27
187,2015-12-09,PIT,COL,@,Marc-Andre Fleury,W,26,24,60:00
188,2015-12-17,COL,NYI,h,Semyon Varlamov,W,34,33,59:58
189,2015-12-17,NYI,COL,@,Thomas Greiss,L,30,28,58:19
190,2015-12-19,COL,EDM,h,Semyon Varlamov,W,40,39,60:00
191,2015-12-19,EDM,COL,@,Anders Nilsson,L,29,24,60:00
192,2015-12-21,COL,TOR,h,Semyon Varlamov,L,21,15,58:47
193,2015-12-21,TOR,COL,@,Jonathan Bernier,W,28,24,60:00
194,2015-12-27,COL,ARI,h,Semyon Varlamov,O,28,26,64:17
195,2015-12-27,ARI,COL,@,Anders Lindback,W,39,38,64:17
196,2015-12-31,COL,CHI,h,Semyon Varlamov,O,43,39,63:29
197,2015-12-31,CHI,COL,@,Scott Darling,W,30,27,63:07
198,2016-01-02,COL,CGY,h,Semyon Varlamov,L,19,15,33:07
199,2016-01-02,CGY,COL,@,Karri Ramo,W,26,26,60:00
200,2016-01-04,COL,LAK,h,Semyon Varlamov,W,31,30,60:00
201,2016-01-04,LAK,COL,@,Jhonas Enroth,L,33,29,60:00
202,2016-01-06,COL,STL,h,Semyon Varlamov,W,38,35,64:00
203,2016-01-06,STL,COL,@,Jake Allen,O,33,29,64:43
204,2016-01-08,COL,NSH,h,Semyon Varlamov,W,22,19,60:00
205,2016-01-08,NSH,COL,@,Pekka Rinne,L,26,22,57:25
206,2016-01-12,COL,TBL,h,Semyon Varlamov,L,38,34,60:00
207,2016-01-12,TBL,COL,@,Ben Bishop,W,21,21,60:00
208,2016-01-14,COL,NJD,h,Calvin Pickard,W,27,27,59:50
209,2016-01-14,NJD,COL,@,Cory Schneider,L,25,23,58:02
210,2016-01-20,COL,BUF,h,Semyon Varlamov,W,28,27,60:00
211,2016-01-20,BUF,COL,@,Robin Lehner,L,35,33,59:43
212,2016-01-22,COL,STL,h,Semyon Varlamov,W,34,33,63:49
213,2016-01-22,STL,COL,@,Brian Elliott,O,41,40,65:00
214,2016-02-02,COL,CHI,h,Calvin Pickard,L,42,40,57:54
215,2016-02-02,CHI,COL,@,Corey Crawford,W,23,22,60:00
216,2016-02-04,COL,DAL,h,Calvin Pickard,O,44,40,60:35
217,2016-02-04,DAL,COL,@,Antti Niemi,W,24,21,60:35
218,2016-02-06,COL,WPG,h,Semyon Varlamov,L,39,35,57:19
219,2016-02-06,WPG,COL,@,Michael Hutchinson,W,34,32,60:00
220,2016-02-09,COL,VAN,h,Semyon Varlamov,L,28,25,56:32
221,2016-02-09,VAN,COL,@,Jacob Markstrom,W,30,29,60:00
222,2016-02-17,COL,MTL,h,Semyon Varlamov,W,34,32,59:53
223,2016-02-17,MTL,COL,@,Ben Scrivens,L,28,25,58:56
224,2016-02-24,COL,SJS,h,Calvin Pickard,W,33,30,65:00
225,2016-02-24,SJS,COL,@,Martin Jones,O,41,38,63:56
226,2016-02-27,COL,DET,h,Semyon Varlamov,L,27,23,59:20
227,2016-02-27,DET,COL,@,Petr Mrazek,W,27,24,59:54
228,2016-03-03,COL,FLA,h,Calvin Pickard,W,40,38,59:57
229,2016-03-03,FLA,COL,@,Roberto Luongo,L,26,23,58:17
230,2016-03-05,COL,NSH,h,Calvin Pickard,L,38,35,58:43
231,2016-03-05,NSH,COL,@,Pekka Rinne,W,36,34,59:47
232,2016-03-07,COL,ARI,h,Semyon Varlamov,W,38,37,60:00
233,2016-03-07,ARI,COL,@,Louis Domingue,L,37,34,57:36
234,2016-03-09,COL,ANA,h,Semyon Varlamov,W,37,37,60:00
235,2016-03-09,ANA,COL,@,John Gibson,L,26,23,60:00
236,2016-03-24,COL,PHI,h,Semyon Varlamov,L,44,41,57:57
237,2016-03-24,PHI,COL,@,Steve Mason,W,34,32,60:00
238,2016-03-26,COL,MIN,h,Semyon Varlamov,L,34,31,58:46
239,2016-03-26,MIN,COL,@,Devan Dubnyk,W,29,29,60:00
240,2016-04-01,COL,WSH,h,Semyon Varlamov,L,46,43,57:50
241,2016-04-01,WSH,COL,@,Braden Holtby,W,19,17,59:46
242,2016-04-03,COL,STL,h,Calvin Pickard,,24,23,38:55
243,2016-04-03,STL,COL,@,Anders Nilsson,,20,19,40:00
244,2016-04-09,COL,ANA,h,Semyon Varlamov,L,31,26,59:46
245,2016-04-09,ANA,COL,@,John Gibson,W,32,29,59:54
246,2015-10-09,CBJ,NYR,h,Sergei Bobrovsky,L,25,21,58:53
247,2015-10-09,NYR,CBJ,@,Henrik Lundqvist,W,33,31,60:00
248,2015-10-14,CBJ,OTT,h,Sergei Bobrovsky,L,26,20,59:05
249,2015-10-14,OTT,CBJ,@,Craig Anderson,W,41,38,59:49
250,2015-10-16,CBJ,TOR,h,Sergei Bobrovsky,L,33,28,58:32
251,2015-10-16,TOR,CBJ,@,James Reimer,W,27,24,60:00
252,2015-10-20,CBJ,NYI,h,Curtis McElhinney,L,28,25,58:07
253,2015-10-20,NYI,CBJ,@,Jaroslav Halak,W,37,37,59:57
254,2015-10-31,CBJ,WPG,h,Curtis McElhinney,,16,16,37:29
255,2015-10-31,WPG,CBJ,@,Ondrej Pavelec,W,21,19,60:00
256,2015-11-10,CBJ,VAN,h,Sergei Bobrovsky,L,29,25,58:32
257,2015-11-10,VAN,CBJ,@,Jacob Markstrom,W,45,42,60:00
258,2015-11-14,CBJ,ARI,h,Sergei Bobrovsky,W,29,27,60:00
259,2015-11-14,ARI,CBJ,@,Mike Smith,L,21,16,60:00
260,2015-11-17,CBJ,STL,h,Sergei Bobrovsky,W,20,19,59:51
261,2015-11-17,STL,CBJ,@,Brian Elliott,L,37,35,59:25
262,2015-11-20,CBJ,NSH,h,Sergei Bobrovsky,W,39,39,60:00
263,2015-11-20,NSH,CBJ,@,Pekka Rinne,L,17,14,57:02
264,2015-11-22,CBJ,SJS,h,Sergei Bobrovsky,L,28,24,59:49
265,2015-11-22,SJS,CBJ,@,Alex Stalock,W,31,28,60:00
266,2015-11-27,CBJ,PIT,h,Sergei Bobrovsky,W,25,24,62:41
267,2015-11-27,PIT,CBJ,@,Marc-Andre Fleury,O,43,41,62:29
268,2015-12-04,CBJ,FLA,h,Sergei Bobrovsky,O,32,31,65:00
269,2015-12-04,FLA,CBJ,@,Al Montoya,W,23,22,65:00
270,2015-12-08,CBJ,LAK,h,Sergei Bobrovsky,,34,33,54:12
271,2015-12-08,LAK,CBJ,@,Jonathan Quick,W,23,21,64:12
272,2015-12-12,CBJ,NYI,h,Curtis McElhinney,O,19,16,62:16
273,2015-12-12,NYI,CBJ,@,Jaroslav Halak,W,30,28,62:16
274,2015-12-14,CBJ,TBL,h,Joonas Korpisalo,L,29,27,58:16
275,2015-12-14,TBL,CBJ,@,Ben Bishop,W,26,25,59:57
276,2015-12-19,CBJ,PHI,h,Joonas Korpisalo,W,32,30,65:00
277,2015-12-19,PHI,CBJ,@,Steve Mason,O,37,35,65:00
278,2015-12-29,CBJ,DAL,h,Curtis McElhinney,W,43,40,59:25
279,2015-12-29,DAL,CBJ,@,Antti Niemi,L,18,16,37:19
280,2016-01-02,CBJ,WSH,h,Curtis McElhinney,,27,23,60:22
