,date,team,against,home,goalie,dec,SA,SV,TOI,,,,
497,10/19/17,CAR,CGY,@,Scott Darling,W,26,25,59:59:00,,,,
747,10/21/17,CAR,DAL,@,Scott Darling,L,26,22,58:06:00,,,,
578,10/24/17,CAR,TBL,h,Scott Darling,L,27,24,59:01:00,,,,
580,10/27/17,CAR,STL,h,Cam Ward,L,34,32,58:32:00,,,,
582,10/29/17,CAR,ANA,h,Scott Darling,O,25,22,65:00:00,,,,
175,11/2/17,CAR,COL,@,Cam Ward,L,27,22,58:23:00,,,,
13,11/4/17,CAR,ARI,@,Scott Darling,O,24,23,64:47:00,,,,
584,11/7/17,CAR,FLA,h,Scott Darling,W,31,30,60:00:00,,,,
263,11/10/17,CAR,CBJ,@,Cam Ward,W,26,25,60:00:00,,,,
586,11/11/17,CAR,CHI,h,Scott Darling,O,30,26,61:33:00,,,,
588,11/13/17,CAR,DAL,h,Scott Darling,W,26,25,59:59:00,,,,
1491,11/16/17,CAR,NYI,@,Scott Darling,L,35,30,59:21:00,,,,
425,11/18/17,CAR,BUF,@,Scott Darling,W,25,24,59:47:00,,,,
590,11/19/17,CAR,NYI,h,Cam Ward,W,29,27,60:00:00,,,,
592,11/22/17,CAR,NYR,h,Scott Darling,L,27,21,59:52:00,,,,
594,11/24/17,CAR,TOR,h,Cam Ward,,16,12,40:00:00,,,,
596,11/26/17,CAR,NSH,h,Scott Darling,W,35,32,65:00:00,,,,
271,11/28/17,CAR,CBJ,@,Scott Darling,O,38,36,65:00:00,,,,
1593,12/1/17,CAR,NYR,@,Scott Darling,L,24,21,59:36:00,,,,
598,12/2/17,CAR,FLA,h,Cam Ward,W,39,37,64:42:00,,,,
2157,12/5/17,CAR,VAN,@,Scott Darling,L,22,19,59:55:00,,,,
1915,12/7/17,CAR,SJS,@,Cam Ward,O,33,28,60:22:00,,,,
1099,12/9/17,CAR,LAK,@,Scott Darling,O,21,18,63:56:00,,,,
117,12/11/17,CAR,ANA,@,Scott Darling,L,23,20,58:31:00,,,,
2241,12/12/17,CAR,VEG,@,Cam Ward,W,24,22,65:00:00,,,,
439,12/15/17,CAR,BUF,@,Cam Ward,W,41,37,62:13:00,,,,
600,12/16/17,CAR,CBJ,h,Scott Darling,W,36,35,59:38:00,,,,
1345,12/21/17,CAR,NSH,@,Cam Ward,W,29,28,60:00:00,,,,
602,12/23/17,CAR,BUF,h,Cam Ward,W,22,20,59:58:00,,,,
604,12/27/17,CAR,MTL,h,Cam Ward,W,24,23,59:58:00,,,,
606,12/29/17,CAR,PIT,h,Cam Ward,W,28,27,60:00:00,,,,
2009,12/30/17,CAR,STL,@,Scott Darling,L,29,26,58:10:00,,,,
608,1/2/18,CAR,WSH,h,Cam Ward,O,26,21,61:47:00,,,,
1843,1/4/18,CAR,PIT,@,Cam Ward,W,21,21,60:00:00,,,,
371,1/6/18,CAR,BOS,@,Scott Darling,,28,23,54:17:00,,,,
2091,1/9/18,CAR,TBL,@,Cam Ward,L,34,29,57:28:00,,,,
2343,1/11/18,CAR,WSH,@,Scott Darling,W,28,27,59:48:00,,,,
610,1/12/18,CAR,WSH,h,Cam Ward,L,27,23,59:47:00,,,,
612,1/14/18,CAR,CGY,h,Scott Darling,L,30,26,59:46:00,,,,
869,1/20/18,CAR,DET,@,Cam Ward,W,24,23,59:38:00,,,,
614,1/21/18,CAR,VEG,h,Cam Ward,,25,23,46:56:00,,,,
1851,1/23/18,CAR,PIT,@,Cam Ward,L,33,30,57:24:00,,,,
1283,1/25/18,CAR,MTL,@,Cam Ward,W,31,26,60:00:00,,,,
616,1/30/18,CAR,OTT,h,Cam Ward,W,30,29,59:59:00,,,,
618,2/1/18,CAR,MTL,h,Cam Ward,W,27,27,60:00:00,,,,
620,2/2/18,CAR,DET,h,Scott Darling,L,38,34,59:51:00,,,,
622,2/4/18,CAR,SJS,h,Cam Ward,L,26,23,57:51:00,,,,
624,2/6/18,CAR,PHI,h,Cam Ward,O,30,28,64:56:00,,,,
626,2/9/18,CAR,VAN,h,Scott Darling,W,22,21,60:00:00,,,,
628,2/10/18,CAR,COL,h,Cam Ward,W,30,29,59:52:00,,,,
630,2/13/18,CAR,LAK,h,Cam Ward,W,30,27,59:42:00,,,,
1451,2/15/18,CAR,NJD,@,Scott Darling,L,22,17,60:00:00,,,,
632,2/16/18,CAR,NYI,h,Cam Ward,L,22,20,58:06:00,,,,
634,2/18/18,CAR,NJD,h,Cam Ward,O,21,18,63:23:00,,,,
636,2/23/18,CAR,PIT,h,Cam Ward,L,39,33,60:00:00,,,,
887,2/24/18,CAR,DET,@,Scott Darling,L,22,19,58:40:00,,,,
389,2/27/18,CAR,BOS,@,Scott Darling,O,32,28,61:05:00,,,,
1785,3/1/18,CAR,PHI,@,Cam Ward,W,22,21,60:00:00,,,,
638,3/2/18,CAR,NJD,h,Cam Ward,W,26,25,59:31:00,,,,
640,3/4/18,CAR,WPG,h,Cam Ward,L,23,20,57:13:00,,,,
1217,3/6/18,CAR,MIN,@,Scott Darling,,18,16,36:14:00,,,,
723,3/8/18,CAR,CHI,@,Scott Darling,W,24,22,59:03:00,,,,
1629,3/12/18,CAR,NYR,@,Scott Darling,L,21,17,58:24:00,,,,
642,3/13/18,CAR,BOS,h,Cam Ward,L,33,28,59:42:00,,,,
644,3/17/18,CAR,PHI,h,Cam Ward,L,26,23,59:46:00,,,,
1543,3/18/18,CAR,NYI,@,Scott Darling,W,29,26,60:00:00,,,,
646,3/20/18,CAR,EDM,h,Scott Darling,L,30,23,60:00:00,,,,
648,3/22/18,CAR,ARI,h,Cam Ward,W,33,28,60:00:00,,,,
1715,3/24/18,CAR,OTT,@,Cam Ward,W,36,34,60:00:00,,,,
650,3/26/18,CAR,OTT,h,Cam Ward,W,20,19,60:00:00,,,,
1467,3/27/18,CAR,NJD,@,Scott Darling,L,45,41,58:35:00,,,,
2373,3/30/18,CAR,WSH,@,Scott Darling,W,21,20,60:00:00,,,,
652,3/31/18,CAR,NYR,h,Cam Ward,L,20,18,57:18:00,,,,
1059,4/2/18,CAR,FLA,@,Scott Darling,L,35,32,57:35:00,,,,
1801,4/5/18,CAR,PHI,@,Scott Darling,L,34,30,58:12:00,,,,
654,4/7/18,CAR,TBL,h,Cam Ward,W,34,32,60:48:00,,,,
246,10/6/17,CBJ,NYI,h,Sergei Bobrovsky,W,29,29,59:53:00,,,,
659,10/7/17,CBJ,CHI,@,Joonas Korpisalo,L,29,24,60:00:00,,,,
577,10/10/17,CBJ,CAR,@,Sergei Bobrovsky,W,38,37,64:19:00,,,,
248,10/13/17,CBJ,NYR,h,Sergei Bobrovsky,W,38,37,59:56:00,,,,
1149,10/14/17,CBJ,MIN,@,Sergei Bobrovsky,W,21,17,60:13:00,,,,
2383,10/17/17,CBJ,WPG,@,Joonas Korpisalo,W,26,24,60:00:00,,,,
250,10/19/17,CBJ,TBL,h,Sergei Bobrovsky,L,21,19,58:31:00,,,,
252,10/21/17,CBJ,LAK,h,Sergei Bobrovsky,L,31,26,58:06:00,,,,
254,10/25/17,CBJ,BUF,h,Sergei Bobrovsky,W,35,34,60:00:00,,,,
256,10/27/17,CBJ,WPG,h,Sergei Bobrovsky,W,30,29,62:38:00,,,,
1975,10/28/17,CBJ,STL,@,Joonas Korpisalo,L,42,38,59:37:00,,,,
258,10/30/17,CBJ,BOS,h,Sergei Bobrovsky,W,30,27,64:55:00,,,,
997,11/2/17,CBJ,FLA,@,Sergei Bobrovsky,W,34,31,59:49:00,,,,
2067,11/4/17,CBJ,TBL,@,Sergei Bobrovsky,O,36,32,65:00:00,,,,
1579,11/6/17,CBJ,NYR,@,Sergei Bobrovsky,L,25,21,59:13:00,,,,
260,11/7/17,CBJ,NSH,h,Joonas Korpisalo,L,28,26,58:52:00,,,,
262,11/10/17,CBJ,CAR,h,Sergei Bobrovsky,L,28,26,59:34:00,,,,
831,11/11/17,CBJ,DET,@,Sergei Bobrovsky,W,33,32,64:53:00,,,,
1247,11/14/17,CBJ,MTL,@,Sergei Bobrovsky,W,29,28,60:58:00,,,,
264,11/17/17,CBJ,NYR,h,Sergei Bobrovsky,W,36,36,60:00:00,,,,
427,11/20/17,CBJ,BUF,@,Sergei Bobrovsky,W,32,30,60:00:00,,,,
266,11/22/17,CBJ,CGY,h,Sergei Bobrovsky,W,22,22,61:32:00,,,,
268,11/24/17,CBJ,OTT,h,Sergei Bobrovsky,W,26,24,60:00:00,,,,
1255,11/27/17,CBJ,MTL,@,Sergei Bobrovsky,L,27,25,58:36:00,,,,
270,11/28/17,CBJ,CAR,h,Joonas Korpisalo,W,31,29,64:56:00,,,,
272,12/1/17,CBJ,ANA,h,Joonas Korpisalo,W,27,25,60:00:00,,,,
2323,12/2/17,CBJ,WSH,@,Sergei Bobrovsky,L,23,19,58:39:00,,,,
274,12/5/17,CBJ,NJD,h,Sergei Bobrovsky,L,36,32,59:45:00,,,,
1419,12/8/17,CBJ,NJD,@,Sergei Bobrovsky,W,24,21,60:00:00,,,,
276,12/9/17,CBJ,ARI,h,Sergei Bobrovsky,W,35,35,60:00:00,,,,
278,12/12/17,CBJ,EDM,h,Sergei Bobrovsky,L,26,21,40:00:00,,,,
280,12/14/17,CBJ,NYI,h,Sergei Bobrovsky,W,25,21,59:54:00,,,,
601,12/16/17,CBJ,CAR,@,Sergei Bobrovsky,L,24,22,58:20:00,,,,
363,12/18/17,CBJ,BOS,@,Sergei Bobrovsky,L,45,38,60:00:00,,,,
282,12/20/17,CBJ,TOR,h,Joonas Korpisalo,W,41,39,60:00:00,,,,
1837,12/21/17,CBJ,PIT,@,Sergei Bobrovsky,O,41,39,65:00:00,,,,
284,12/23/17,CBJ,PHI,h,Sergei Bobrovsky,W,31,30,65:00:00,,,,
1841,12/27/17,CBJ,PIT,@,Sergei Bobrovsky,O,37,33,65:00:00,,,,
1675,12/29/17,CBJ,OTT,@,Sergei Bobrovsky,L,28,23,58:20:00,,,,
286,12/31/17,CBJ,TBL,h,Joonas Korpisalo,L,35,30,60:00:00,,,,
777,1/2/18,CBJ,DAL,@,Sergei Bobrovsky,W,22,21,59:53:00,,,,
207,1/4/18,CBJ,COL,@,Sergei Bobrovsky,L,32,30,59:31:00,,,,
288,1/7/18,CBJ,FLA,h,Sergei Bobrovsky,W,44,42,64:29:00,,,,
449,1/11/18,CBJ,BUF,@,Sergei Bobrovsky,L,28,26,58:32:00,,,,
290,1/12/18,CBJ,VAN,h,Sergei Bobrovsky,L,28,24,57:51:00,,,,
292,1/18/18,CBJ,DAL,h,Joonas Korpisalo,W,36,35,65:00:00,,,,
2259,1/23/18,CBJ,VEG,@,Sergei Bobrovsky,L,37,32,58:44:00,,,,
47,1/25/18,CBJ,ARI,@,Sergei Bobrovsky,W,39,38,60:00:00,,,,
294,1/30/18,CBJ,MIN,h,Sergei Bobrovsky,O,43,41,65:00:00,,,,
296,2/2/18,CBJ,SJS,h,Sergei Bobrovsky,L,28,25,57:57:00,,,,
1525,2/3/18,CBJ,NYI,@,Joonas Korpisalo,L,38,34,58:19:00,,,,
298,2/6/18,CBJ,WSH,h,Sergei Bobrovsky,L,25,22,59:27:00,,,,
2353,2/9/18,CBJ,WSH,@,Sergei Bobrovsky,L,17,13,58:37:00,,,,
300,2/10/18,CBJ,NJD,h,Sergei Bobrovsky,W,35,34,59:42:00,,,,
1533,2/13/18,CBJ,NYI,@,Sergei Bobrovsky,W,30,29,60:00:00,,,,
302,2/16/18,CBJ,PHI,h,Sergei Bobrovsky,O,25,23,61:52:00,,,,
304,2/18/18,CBJ,PIT,h,Sergei Bobrovsky,L,23,18,60:00:00,,,,
1453,2/20/18,CBJ,NJD,@,Sergei Bobrovsky,W,31,30,60:00:00,,,,
1783,2/22/18,CBJ,PHI,@,Sergei Bobrovsky,L,20,18,58:38:00,,,,
306,2/24/18,CBJ,CHI,h,Sergei Bobrovsky,W,33,31,60:00:00,,,,
308,2/26/18,CBJ,WSH,h,Sergei Bobrovsky,W,26,25,60:00:00,,,,
1125,3/1/18,CBJ,LAK,@,Joonas Korpisalo,L,34,29,60:00:00,,,,
143,3/2/18,CBJ,ANA,@,Sergei Bobrovsky,L,35,31,58:01:00,,,,
1949,3/4/18,CBJ,SJS,@,Sergei Bobrovsky,W,35,33,59:59:00,,,,
310,3/6/18,CBJ,VEG,h,Joonas Korpisalo,W,38,37,59:57:00,,,,
312,3/8/18,CBJ,COL,h,Joonas Korpisalo,W,27,23,60:34:00,,,,
314,3/9/18,CBJ,DET,h,Sergei Bobrovsky,W,24,22,60:00:00,,,,
316,3/12/18,CBJ,MTL,h,Sergei Bobrovsky,W,40,38,60:00:00,,,,
1793,3/15/18,CBJ,PHI,@,Sergei Bobrovsky,W,30,27,60:00:00,,,,
318,3/17/18,CBJ,OTT,h,Sergei Bobrovsky,W,24,23,60:00:00,,,,
401,3/19/18,CBJ,BOS,@,Joonas Korpisalo,W,38,34,62:40:00,,,,
1633,3/20/18,CBJ,NYR,@,Sergei Bobrovsky,W,32,29,59:53:00,,,,
320,3/22/18,CBJ,FLA,h,Sergei Bobrovsky,W,33,33,60:00:00,,,,
322,3/24/18,CBJ,STL,h,Sergei Bobrovsky,L,28,26,58:18:00,,,,
979,3/27/18,CBJ,EDM,@,Sergei Bobrovsky,W,25,22,60:00:00,,,,
567,3/29/18,CBJ,CGY,@,Sergei Bobrovsky,W,38,37,60:00:00,,,,
2209,3/31/18,CBJ,VAN,@,Joonas Korpisalo,O,29,24,60:21:00,,,,
324,4/3/18,CBJ,DET,h,Sergei Bobrovsky,W,27,23,62:49:00,,,,
326,4/5/18,CBJ,PIT,h,Sergei Bobrovsky,O,43,38,61:06:00,,,,
1393,4/7/18,CBJ,NSH,@,Joonas Korpisalo,L,26,23,59:46:00,,,,
903,10/4/17,CGY,EDM,@,Mike Smith,L,44,42,58:57:00,,,,
492,10/7/17,CGY,WPG,h,Mike Smith,W,28,25,59:58:00,,,,
87,10/9/17,CGY,ANA,@,Mike Smith,W,43,43,60:00:00,,,,
1069,10/11/17,CGY,LAK,@,Mike Smith,W,45,42,61:02:00,,,,
494,10/13/17,CGY,OTT,h,Mike Smith,L,22,17,47:58:00,,,,
2139,10/14/17,CGY,VAN,@,Mike Smith,W,29,27,59:56:00,,,,
496,10/19/17,CGY,CAR,h,Mike Smith,L,33,31,58:41:00,,,,
498,10/21/17,CGY,MIN,h,Mike Smith,L,31,28,59:16:00,,,,
1319,10/24/17,CGY,NSH,@,Mike Smith,W,30,28,64:53:00,,,,
1973,10/25/17,CGY,STL,@,Eddie Lack,L,28,24,59:53:00,,,,
500,10/27/17,CGY,DAL,h,Mike Smith,L,24,22,58:52:00,,,,
502,10/29/17,CGY,WSH,h,Mike Smith,W,31,30,60:00:00,,,,
504,11/2/17,CGY,PIT,h,Mike Smith,W,44,43,62:19:00,,,,
506,11/5/17,CGY,NJD,h,Mike Smith,W,30,26,65:00:00,,,,
508,11/7/17,CGY,VAN,h,Mike Smith,L,21,16,57:32:00,,,,
510,11/9/17,CGY,DET,h,Mike Smith,W,42,39,60:00:00,,,,
512,11/13/17,CGY,STL,h,Eddie Lack,W,15,13,39:50:00,,,,
833,11/15/17,CGY,DET,@,Jon Gillies,,12,9,34:53:00,,,,
1741,11/18/17,CGY,PHI,@,Mike Smith,W,39,35,61:18:00,,,,
2315,11/20/17,CGY,WSH,@,Mike Smith,W,30,29,59:45:00,,,,
267,11/22/17,CGY,CBJ,@,Mike Smith,O,41,40,62:02:00,,,,
759,11/24/17,CGY,DAL,@,Mike Smith,L,40,35,59:21:00,,,,
183,11/25/17,CGY,COL,@,David Rittich,W,26,24,59:03:00,,,,
514,11/28/17,CGY,TOR,h,Mike Smith,L,29,26,57:34:00,,,,
516,11/30/17,CGY,ARI,h,Mike Smith,W,28,28,60:00:00,,,,
518,12/2/17,CGY,EDM,h,Mike Smith,,27,22,40:00:00,,,,
520,12/4/17,CGY,PHI,h,Mike Smith,L,21,16,60:00:00,,,,
1263,12/7/17,CGY,MTL,@,David Rittich,W,37,35,61:14:00,,,,
522,12/9/17,CGY,VAN,h,Mike Smith,W,24,22,59:51:00,,,,
1175,12/12/17,CGY,MIN,@,Mike Smith,O,22,21,65:00:00,,,,
524,12/14/17,CGY,SJS,h,Mike Smith,L,29,26,58:35:00,,,,
526,12/16/17,CGY,NSH,h,Mike Smith,L,28,26,57:11:00,,,,
2165,12/17/17,CGY,VAN,@,David Rittich,W,17,16,60:00:00,,,,
528,12/20/17,CGY,STL,h,Mike Smith,W,22,21,59:53:00,,,,
530,12/22/17,CGY,MTL,h,Mike Smith,L,35,32,57:29:00,,,,
1925,12/28/17,CGY,SJS,@,David Rittich,O,32,30,64:44:00,,,,
121,12/29/17,CGY,ANA,@,Mike Smith,L,41,39,57:38:00,,,,
532,12/31/17,CGY,CHI,h,Mike Smith,W,37,34,60:52:00,,,,
534,1/4/18,CGY,LAK,h,Mike Smith,W,31,28,59:54:00,,,,
536,1/6/18,CGY,ANA,h,Mike Smith,W,29,27,59:55:00,,,,
1189,1/9/18,CGY,MIN,@,Mike Smith,W,35,33,62:11:00,,,,
2093,1/11/18,CGY,TBL,@,Mike Smith,W,34,33,60:00:00,,,,
1023,1/12/18,CGY,FLA,@,David Rittich,W,43,41,59:58:00,,,,
613,1/14/18,CGY,CAR,@,Mike Smith,W,39,38,59:46:00,,,,
538,1/20/18,CGY,WPG,h,Mike Smith,O,35,34,65:00:00,,,,
540,1/22/18,CGY,BUF,h,Mike Smith,O,33,31,61:17:00,,,,
542,1/24/18,CGY,LAK,h,Mike Smith,O,27,25,64:33:00,,,,
951,1/25/18,CGY,EDM,@,David Rittich,O,37,34,64:53:00,,,,
544,1/30/18,CGY,VEG,h,Mike Smith,L,34,31,59:54:00,,,,
546,2/1/18,CGY,TBL,h,Mike Smith,L,27,21,46:22:00,,,,
548,2/3/18,CGY,CHI,h,Mike Smith,W,28,25,60:59:00,,,,
707,2/6/18,CGY,CHI,@,Mike Smith,W,36,34,60:00:00,,,,
1447,2/8/18,CGY,NJD,@,David Rittich,W,32,30,60:00:00,,,,
1619,2/9/18,CGY,NYR,@,Mike Smith,L,36,32,58:14:00,,,,
1531,2/11/18,CGY,NYI,@,Mike Smith,W,25,23,59:58:00,,,,
387,2/13/18,CGY,BOS,@,David Rittich,L,39,35,59:21:00,,,,
1367,2/15/18,CGY,NSH,@,David Rittich,W,32,29,59:57:00,,,,
550,2/17/18,CGY,FLA,h,Jon Gillies,,15,13,33:57:00,,,,
552,2/19/18,CGY,BOS,h,David Rittich,O,32,30,63:36:00,,,,
2273,2/21/18,CGY,VEG,@,David Rittich,L,26,19,59:48:00,,,,
59,2/22/18,CGY,ARI,@,Jon Gillies,W,37,35,59:59:00,,,,
554,2/24/18,CGY,COL,h,Jon Gillies,W,29,28,60:00:00,,,,
803,2/27/18,CGY,DAL,@,Jon Gillies,L,26,24,58:11:00,,,,
225,2/28/18,CGY,COL,@,David Rittich,L,33,29,58:03:00,,,,
556,3/2/18,CGY,NYR,h,Jon Gillies,L,27,24,56:49:00,,,,
1871,3/5/18,CGY,PIT,@,Jon Gillies,O,32,28,62:36:00,,,,
475,3/7/18,CGY,BUF,@,David Rittich,W,26,25,59:58:00,,,,
1707,3/9/18,CGY,OTT,@,David Rittich,W,30,29,60:00:00,,,,
558,3/11/18,CGY,NYI,h,Mike Smith,L,26,22,57:22:00,,,,
560,3/13/18,CGY,EDM,h,Mike Smith,W,28,28,59:58:00,,,,
562,3/16/18,CGY,SJS,h,Mike Smith,L,20,14,41:02:00,,,,
2285,3/18/18,CGY,VEG,@,Mike Smith,L,31,27,60:00:00,,,,
77,3/19/18,CGY,ARI,@,Mike Smith,L,28,25,58:34:00,,,,
564,3/21/18,CGY,ANA,h,Mike Smith,L,11,8,40:00:00,,,,
1961,3/24/18,CGY,SJS,@,David Rittich,L,33,28,60:00:00,,,,
1139,3/26/18,CGY,LAK,@,Mike Smith,L,29,26,59:44:00,,,,
566,3/29/18,CGY,CBJ,h,Jon Gillies,L,28,23,60:00:00,,,,
568,3/31/18,CGY,EDM,h,Mike Smith,W,36,34,60:00:00,,,,
570,4/3/18,CGY,ARI,h,Jon Gillies,L,21,17,60:00:00,,,,
2457,4/5/18,CGY,WPG,@,Jon Gillies,L,26,24,59:00:00,,,,
572,4/7/18,CGY,VEG,h,Jon Gillies,W,27,26,59:31:00,,,,
656,10/5/17,CHI,PIT,h,Corey Crawford,W,29,28,59:56:00,,,,
658,10/7/17,CHI,CBJ,h,Corey Crawford,W,33,32,60:00:00,,,,
,10/9/17,CHI,TOR,@,Anton Forsberg,O,43,39,63:43:00,B,,,
1231,10/10/17,CHI,MTL,@,Corey Crawford,W,42,41,60:00:00,S,,,
660,10/12/17,CHI,MIN,h,Corey Crawford,L,32,29,59:38:00,,,,
662,10/14/17,CHI,NSH,h,Corey Crawford,W,38,37,62:58:00,,,,
1971,10/18/17,CHI,STL,@,Corey Crawford,L,32,28,56:58:00,,,,
664,10/19/17,CHI,EDM,h,Anton Forsberg,O,42,40,64:44:00,,,,
9,10/21/17,CHI,ARI,@,Corey Crawford,W,29,27,60:00:00,,,,
2225,10/24/17,CHI,VEG,@,Corey Crawford,L,33,29,59:01:00,,,,
666,10/27/17,CHI,NSH,h,Corey Crawford,L,30,28,58:15:00,,,,
173,10/28/17,CHI,COL,@,Corey Crawford,,8,7,29:59:00,,,,
668,11/1/17,CHI,PHI,h,Corey Crawford,W,35,35,59:51:00,,,,
1161,11/4/17,CHI,MIN,@,Corey Crawford,W,24,24,60:00:00,,,,
670,11/5/17,CHI,MTL,h,Corey Crawford,L,35,33,57:10:00,,,,
1737,11/9/17,CHI,PHI,@,Corey Crawford,L,31,28,58:22:00,,,,
587,11/11/17,CHI,CAR,@,Anton Forsberg,W,38,35,61:39:00,,,,
672,11/12/17,CHI,NJD,h,Corey Crawford,L,25,19,40:00:00,,,,
674,11/15/17,CHI,NYR,h,Corey Crawford,W,28,25,60:00:00,,,,
1819,11/18/17,CHI,PIT,@,Corey Crawford,W,36,35,57:08:00,,,,
2073,11/22/17,CHI,TBL,@,Corey Crawford,O,38,35,63:13:00,,,,
1005,11/25/17,CHI,FLA,@,Corey Crawford,W,38,37,60:00:00,,,,
676,11/27/17,CHI,ANA,h,Corey Crawford,W,29,26,60:00:00,,,,
1333,11/28/17,CHI,NSH,@,Anton Forsberg,L,31,28,57:54:00,,,,
678,11/30/17,CHI,DAL,h,Corey Crawford,O,35,31,60:51:00,,,,
761,12/2/17,CHI,DAL,@,Anton Forsberg,O,35,33,65:00:00,,,,
680,12/3/17,CHI,LAK,h,Anton Forsberg,L,22,21,58:44:00,,,,
2327,12/6/17,CHI,WSH,@,Jean-Francois Berube,,14,12,44:14:00,,,,
682,12/8/17,CHI,BUF,h,Corey Crawford,W,28,26,64:55:00,,,,
684,12/10/17,CHI,ARI,h,Corey Crawford,W,32,31,60:00:00,,,,
686,12/12/17,CHI,FLA,h,Corey Crawford,W,37,35,62:22:00,,,,
2407,12/14/17,CHI,WPG,@,Corey Crawford,W,28,27,60:00:00,,,,
688,12/17/17,CHI,MIN,h,Corey Crawford,W,28,27,59:31:00,,,,
769,12/21/17,CHI,DAL,@,Corey Crawford,L,22,18,60:00:00,,,,
1429,12/23/17,CHI,NJD,@,Anton Forsberg,,22,21,46:38:00,,,,
2171,12/28/17,CHI,VAN,@,Anton Forsberg,L,31,26,60:00:00,,,,
939,12/29/17,CHI,EDM,@,Jeff Glass,W,45,42,60:50:00,,,,
533,12/31/17,CHI,CGY,@,Jeff Glass,O,39,35,60:25:00,,,,
1607,1/3/18,CHI,NYR,@,Jeff Glass,W,25,23,60:00:00,,,,
690,1/5/18,CHI,VEG,h,Jeff Glass,L,43,38,58:08:00,,,,
692,1/7/18,CHI,EDM,h,Anton Forsberg,W,33,32,59:54:00,,,,
1683,1/9/18,CHI,OTT,@,Anton Forsberg,W,27,25,59:48:00,,,,
694,1/10/18,CHI,MIN,h,Anton Forsberg,L,27,25,59:24:00,,,,
696,1/12/18,CHI,WPG,h,Jeff Glass,W,32,31,59:11:00,,,,
698,1/14/18,CHI,DET,h,Jeff Glass,L,26,22,59:50:00,,,,
700,1/20/18,CHI,NYI,h,Anton Forsberg,L,35,30,41:52:00,,,,
702,1/22/18,CHI,TBL,h,Jeff Glass,L,31,29,58:41:00,,,,
704,1/24/18,CHI,TOR,h,Jeff Glass,O,36,33,60:02:00,,,,
873,1/25/18,CHI,DET,@,Anton Forsberg,W,24,23,60:00:00,,,,
1359,1/30/18,CHI,NSH,@,Anton Forsberg,W,43,42,60:00:00,,,,
2183,2/1/18,CHI,VAN,@,Anton Forsberg,L,21,17,57:16:00,,,,
549,2/3/18,CHI,CGY,@,Jeff Glass,O,39,35,60:59:00,,,,
706,2/6/18,CHI,CGY,h,Jeff Glass,L,22,20,58:14:00,,,,
708,2/8/18,CHI,DAL,h,Anton Forsberg,L,29,26,58:16:00,,,,
1203,2/10/18,CHI,MIN,@,Jeff Glass,L,19,16,55:33:00,,,,
53,2/12/18,CHI,ARI,@,Jeff Glass,,9,6,32:45:00,,,,
2265,2/13/18,CHI,VEG,@,Jeff Glass,L,36,32,58:08:00,,,,
710,2/15/18,CHI,ANA,h,Anton Forsberg,L,32,29,56:46:00,,,,
712,2/17/18,CHI,WSH,h,Anton Forsberg,W,20,19,59:56:00,,,,
714,2/19/18,CHI,LAK,h,Anton Forsberg,L,32,29,57:07:00,,,,
716,2/21/18,CHI,OTT,h,Anton Forsberg,W,34,32,65:00:00,,,,
718,2/23/18,CHI,SJS,h,Jean-Francois Berube,W,43,42,60:00:00,,,,
307,2/24/18,CHI,CBJ,@,Anton Forsberg,L,29,26,58:29:00,,,,
1947,3/1/18,CHI,SJS,@,Jean-Francois Berube,L,28,22,40:00:00,,,,
1127,3/3/18,CHI,LAK,@,Anton Forsberg,W,32,29,59:57:00,,,,
145,3/4/18,CHI,ANA,@,Anton Forsberg,L,21,17,30:23:00,,,,
720,3/6/18,CHI,COL,h,Jean-Francois Berube,W,34,33,60:09:00,,,,
722,3/8/18,CHI,CAR,h,Jean-Francois Berube,L,40,37,57:27:00,,,,
399,3/10/18,CHI,BOS,@,Jean-Francois Berube,L,39,33,58:55:00,,,,
724,3/11/18,CHI,BOS,h,Anton Forsberg,W,32,31,60:00:00,,,,
2445,3/15/18,CHI,WPG,@,Jean-Francois Berube,,32,30,49:20:00,,,,
481,3/17/18,CHI,BUF,@,Jean-Francois Berube,L,31,27,58:33:00,,,,
726,3/18/18,CHI,STL,h,Jean-Francois Berube,O,41,36,63:31:00,,,,
728,3/20/18,CHI,COL,h,Anton Forsberg,L,39,35,58:55:00,,,,
730,3/22/18,CHI,VAN,h,Anton Forsberg,,9,8,30:22:00,,,,
1549,3/24/18,CHI,NYI,@,Anton Forsberg,W,32,31,60:00:00,,,,
732,3/26/18,CHI,SJS,h,Anton Forsberg,O,38,35,64:58:00,,,,
734,3/29/18,CHI,WPG,h,Collin Delia,W,27,25,45:59:00,,,,
243,3/30/18,CHI,COL,@,Collin Delia,L,36,31,60:00:00,,,,
2049,4/4/18,CHI,STL,@,Jean-Francois Berube,W,34,31,60:00:00,,,,
736,4/6/18,CHI,STL,h,Jean-Francois Berube,L,34,31,58:16:00,,,,
2459,4/7/18,CHI,WPG,@,Jeff Glass,L,39,35,60:00:00,,,,
1559,10/5/17,COL,NYR,@,Semyon Varlamov,W,39,37,59:58:00,,,,
1395,10/7/17,COL,NJD,@,Jonathan Bernier,L,39,35,59:16:00,,,,
331,10/9/17,COL,BOS,@,Semyon Varlamov,W,29,29,60:00:00,,,,
164,10/11/17,COL,BOS,h,Semyon Varlamov,W,23,20,60:00:00,,,,
166,10/13/17,COL,ANA,h,Jonathan Bernier,W,18,17,59:59:00,,,,
