,date,team,against,home,goalie,dec,SA,SV,TOI,,,,
156,3/30/18,ANA,LAK,h,John Gibson,W,29,28,64:41:00,,,,
158,4/1/18,ANA,COL,h,Ryan Miller,W,21,19,41:34:00,,,,
160,4/4/18,ANA,MIN,h,Ryan Miller,W,27,26,60:00:00,,,,
162,4/6/18,ANA,DAL,h,Ryan Miller,W,26,23,59:55:00,B,,,
81,4/7/18,ANA,ARI,@,Ryan Miller,W,31,31,60:00:00,B,,,
83,10/5/17,ARI,ANA,@,Louis Domingue,L,41,36,58:17:00,,,,
0,10/7/17,ARI,VEG,h,Antti Raanta,O,42,40,63:46:00,,,,
2215,10/10/17,ARI,VEG,@,Louis Domingue,,23,21,53:45:00,,,,
2,10/12/17,ARI,DET,h,Louis Domingue,L,23,20,39:08:00,,,,
4,10/14/17,ARI,BOS,h,Louis Domingue,L,29,23,59:56:00,,,,
745,10/17/17,ARI,DAL,@,Adin Hill,L,33,31,58:25:00,,,,
6,10/19/17,ARI,DAL,h,Adin Hill,L,30,25,58:16:00,,,,
8,10/21/17,ARI,CHI,h,Louis Domingue,L,28,25,59:15:00,,,,
1483,10/24/17,ARI,NYI,@,Louis Domingue,L,25,20,60:00:00,,,,
1575,10/26/17,ARI,NYR,@,Adin Hill,L,29,25,59:04:00,,,,
1405,10/28/17,ARI,NJD,@,Louis Domingue,L,25,21,57:24:00,,,,
1733,10/30/17,ARI,PHI,@,Scott Wedgewood,W,31,28,64:40:00,,,,
829,10/31/17,ARI,DET,@,Scott Wedgewood,L,39,35,58:20:00,,,,
10,11/2/17,ARI,BUF,h,Antti Raanta,L,31,26,56:57:00,,,,
12,11/4/17,ARI,CAR,h,Antti Raanta,W,37,36,64:31:00,,,,
2307,11/6/17,ARI,WSH,@,Scott Wedgewood,O,40,37,63:53:00,,,,
1815,11/7/17,ARI,PIT,@,Antti Raanta,L,37,34,58:39:00,,,,
1983,11/9/17,ARI,STL,@,Antti Raanta,O,38,36,64:41:00,,,,
14,11/11/17,ARI,WPG,h,Antti Raanta,L,20,17,58:01:00,,,,
2393,11/14/17,ARI,WPG,@,Scott Wedgewood,,17,16,34:52:00,,,,
1249,11/16/17,ARI,MTL,@,Antti Raanta,W,37,33,59:44:00,,,,
1665,11/18/17,ARI,OTT,@,Antti Raanta,W,32,30,61:05:00,,,,
16,11/22/17,ARI,SJS,h,Scott Wedgewood,L,16,14,44:20:00,,,,
18,11/24/17,ARI,LAK,h,Scott Wedgewood,W,25,23,62:43:00,,,,
20,11/25/17,ARI,VEG,h,Marek Langhamer,,10,10,28:53:00,,,,
925,11/28/17,ARI,EDM,@,Scott Wedgewood,O,27,24,64:20:00,,,,
