,date,team,against,home,goalie,dec,SA,SV,TOI
0,2011-10-08,ANA,NYR,h,Jonas Hiller,W,15,14,65:00
1,2011-10-08,NYR,ANA,@,Henrik Lundqvist,O,28,27,65:00
2,2011-10-14,ANA,SJS,h,Jonas Hiller,W,31,31,60:00
3,2011-10-14,SJS,ANA,@,Thomas Greiss,L,23,22,58:49
4,2011-10-16,ANA,STL,h,Jonas Hiller,W,30,28,60:00
5,2011-10-16,STL,ANA,@,Jaroslav Halak,L,23,19,58:36
6,2011-10-21,ANA,DAL,h,Jonas Hiller,L,19,16,59:03
7,2011-10-21,DAL,ANA,@,Kari Lehtonen,W,36,35,60:00
8,2011-10-23,ANA,PHX,h,Dan Ellis,\,16,16,30:07
9,2011-10-23,PHX,ANA,@,Mike Smith,W,33,29,60:00
10,2011-11-09,ANA,NSH,h,Jonas Hiller,L,32,28,58:21
11,2011-11-09,NSH,ANA,@,Pekka Rinne,W,33,31,60:00
12,2011-11-11,ANA,VAN,h,Jonas Hiller,W,41,38,60:00
13,2011-11-11,VAN,ANA,@,Roberto Luongo,L,19,15,40:00
14,2011-11-13,ANA,MIN,h,Dan Ellis,\,11,11,37:43
15,2011-11-13,MIN,ANA,@,Niklas Backstrom,W,34,32,60:00
16,2011-11-17,ANA,LAK,h,Dan Ellis,L,35,31,58:27
17,2011-11-17,LAK,ANA,@,Jonathan Quick,W,38,35,59:51
18,2011-11-20,ANA,DET,h,Jonas Hiller,L,29,26,58:58
19,2011-11-20,DET,ANA,@,Jimmy Howard,W,34,32,60:00
20,2011-11-25,ANA,CHI,h,Jonas Hiller,\,33,28,43:33
21,2011-11-25,CHI,ANA,@,Corey Crawford,W,28,23,59:38
22,2011-11-27,ANA,TOR,h,Jonas Hiller,L,27,23,58:25
23,2011-11-27,TOR,ANA,@,Jonas Gustavsson,W,28,26,60:00
24,2011-11-30,ANA,MTL,h,Jonas Hiller,W,20,19,59:28
25,2011-11-30,MTL,ANA,@,Peter Budaj,L,26,23,59:20
26,2011-12-02,ANA,PHI,h,Jonas Hiller,O,47,43,63:27
27,2011-12-02,PHI,ANA,@,Ilya Bryzgalov,W,22,19,63:29
28,2011-12-04,ANA,MIN,h,Jonas Hiller,L,35,31,58:57
29,2011-12-04,MIN,ANA,@,Josh Harding,W,27,24,60:00
30,2011-12-06,ANA,LAK,h,Jonas Hiller,W,39,37,59:59
31,2011-12-06,LAK,ANA,@,Jonathan Quick,L,27,24,59:42
32,2011-12-14,ANA,PHX,h,Jonas Hiller,W,20,19,60:00
33,2011-12-14,PHX,ANA,@,Mike Smith,L,28,24,59:45
34,2011-12-29,ANA,VAN,h,Dan Ellis,\,15,14,31:58
35,2011-12-29,VAN,ANA,@,Cory Schneider,W,32,30,60:00
36,2011-12-31,ANA,COL,h,Jonas Hiller,L,26,22,59:08
37,2011-12-31,COL,ANA,@,Jean-Sebastien Giguere,W,20,18,60:00
38,2012-01-04,ANA,SJS,h,Jonas Hiller,L,36,33,58:24
39,2012-01-04,SJS,ANA,@,Antti Niemi,W,27,26,60:00
40,2012-01-06,ANA,NYI,h,Jonas Hiller,W,21,19,60:00
41,2012-01-06,NYI,ANA,@,Evgeni Nabokov,L,20,16,57:36
42,2012-01-08,ANA,CBJ,h,Iiro Tarkki,W,10,7,40:51
43,2012-01-08,CBJ,ANA,@,Curtis Sanford,L,10,8,39:36
44,2012-01-10,ANA,DAL,h,Jeff Deslauriers,W,28,26,60:00
45,2012-01-10,DAL,ANA,@,Kari Lehtonen,L,25,21,59:20
46,2012-01-18,ANA,PHX,h,Jonas Hiller,W,27,25,60:00
47,2012-01-18,PHX,ANA,@,Mike Smith,L,21,15,60:00
48,2012-01-21,ANA,OTT,h,Jonas Hiller,W,32,31,59:56
49,2012-01-21,OTT,ANA,@,Craig Anderson,L,29,27,58:26
50,2012-01-22,ANA,COL,h,Jonas Hiller,W,45,43,60:00
51,2012-01-22,COL,ANA,@,Jean-Sebastien Giguere,L,18,15,58:27
52,2012-02-01,ANA,DAL,h,Jonas Hiller,L,26,20,59:56
53,2012-02-01,DAL,ANA,@,Kari Lehtonen,W,35,33,60:00
54,2012-02-03,ANA,CBJ,h,Jonas Hiller,O,21,18,63:55
55,2012-02-03,CBJ,ANA,@,Curtis Sanford,W,35,33,63:54
56,2012-02-06,ANA,CGY,h,Jonas Hiller,W,26,24,65:00
57,2012-02-06,CGY,ANA,@,Miikka Kiprusoff,O,33,31,65:00
58,2012-02-08,ANA,CAR,h,Jonas Hiller,W,33,31,62:14
59,2012-02-08,CAR,ANA,@,Cam Ward,O,34,31,62:11
60,2012-02-26,ANA,CHI,h,Jonas Hiller,W,19,18,60:00
