,date,team,against,home,goalie,dec,SA,SV,TOI
34,2014-12-29,ARI,PHI,h,Devan Dubnyk,W,32,30,60:00
35,2014-12-29,PHI,ARI,@,Steve Mason,L,24,21,58:40
36,2015-01-03,ARI,CBJ,h,Mike Smith,W,26,23,59:59
37,2015-01-03,CBJ,ARI,@,Sergei Bobrovsky,L,31,25,44:58
38,2015-01-06,ARI,STL,h,Mike Smith,L,39,33,59:42
39,2015-01-06,STL,ARI,@,Brian Elliott,W,23,23,59:29
40,2015-01-08,ARI,WPG,h,Mike Smith,W,35,34,60:00
41,2015-01-08,WPG,ARI,@,Ondrej Pavelec,L,30,26,59:15
42,2015-01-10,ARI,OTT,h,Mike Smith,L,33,28,60:00
43,2015-01-10,OTT,ARI,@,Craig Anderson,W,32,31,59:58
44,2015-01-13,ARI,SJS,h,Devan Dubnyk,L,25,22,58:50
45,2015-01-13,SJS,ARI,@,Antti Niemi,W,29,27,59:57
46,2015-01-15,ARI,CGY,h,Mike Smith,L,24,21,59:40
47,2015-01-15,CGY,ARI,@,Joni Ortio,W,28,27,59:44
48,2015-02-05,ARI,CAR,h,Mike Smith,O,41,40,65:00
49,2015-02-05,CAR,ARI,@,Cam Ward,W,29,28,65:00
50,2015-02-07,ARI,DET,h,Mike Smith,L,25,23,58:58
51,2015-02-07,DET,ARI,@,Petr Mrazek,W,23,22,60:00
52,2015-02-13,ARI,SJS,h,Mike Smith,L,25,22,58:38
53,2015-02-13,SJS,ARI,@,Antti Niemi,W,36,34,59:38
54,2015-02-14,ARI,NYR,h,Mike Smith,L,32,27,60:00
55,2015-02-14,NYR,ARI,@,Cam Talbot,W,35,34,60:00
56,2015-02-21,ARI,TBL,h,Mike Smith,L,26,23,59:07
57,2015-02-21,TBL,ARI,@,Ben Bishop,W,24,22,60:00
58,2015-03-03,ARI,ANA,h,Mike Smith,L,34,31,59:26
59,2015-03-03,ANA,ARI,@,Frederik Andersen,W,30,29,60:00
60,2015-03-05,ARI,VAN,h,Mike Smith,W,34,32,65:00
61,2015-03-05,VAN,ARI,@,Eddie Lack,O,35,33,64:29
62,2015-03-07,ARI,MTL,h,Mike Smith,L,34,33,58:37
63,2015-03-07,MTL,ARI,@,Carey Price,W,28,28,60:00
64,2015-03-09,ARI,NSH,h,Louis Domingue,O,40,38,62:45
65,2015-03-09,NSH,ARI,@,Pekka Rinne,W,28,27,62:23
66,2015-03-12,ARI,CHI,h,Mike Smith,L,44,42,58:47
67,2015-03-12,CHI,ARI,@,Corey Crawford,W,18,17,60:00
68,2015-03-14,ARI,NJD,h,Mike Smith,L,29,25,60:00
69,2015-03-14,NJD,ARI,@,Cory Schneider,W,31,30,60:00
70,2015-03-19,ARI,COL,h,Louis Domingue,L,28,24,58:18
71,2015-03-19,COL,ARI,@,Semyon Varlamov,W,30,28,60:00
72,2015-03-21,ARI,PIT,h,Mike Smith,L,36,34,59:12
73,2015-03-21,PIT,ARI,@,Marc-Andre Fleury,W,31,30,58:28
74,2015-03-22,ARI,VAN,h,Mike Smith,L,43,41,58:45
75,2015-03-22,VAN,ARI,@,Jacob Markstrom,W,27,26,60:00
76,2015-03-30,ARI,BUF,h,Mike Smith,L,34,32,58:48
77,2015-03-30,BUF,ARI,@,Anders Lindback,W,29,28,60:00
78,2015-04-04,ARI,SJS,h,Mike Smith,W,45,42,59:55
79,2015-04-04,SJS,ARI,@,Antti Niemi,L,35,31,59:01
80,2015-04-11,ARI,ANA,h,Mike Smith,L,38,36,59:43
81,2015-04-11,ANA,ARI,@,Frederik Andersen,W,24,23,60:00
82,2014-10-17,ANA,MIN,h,Frederik Andersen,W,28,27,59:58
83,2014-10-17,MIN,ANA,@,Darcy Kuemper,L,26,24,58:37
84,2014-10-19,ANA,STL,h,Frederik Andersen,W,28,28,60:00
85,2014-10-19,STL,ANA,@,Brian Elliott,L,25,22,59:28
86,2014-10-22,ANA,BUF,h,Frederik Andersen,W,23,22,59:59
87,2014-10-22,BUF,ANA,@,Michal Neuvirth,L,33,30,59:44
88,2014-10-24,ANA,CBJ,h,John Gibson,W,17,16,60:00
89,2014-10-24,CBJ,ANA,@,Sergei Bobrovsky,L,33,30,59:26
90,2014-10-26,ANA,SJS,h,Frederik Andersen,L,37,33,59:59
91,2014-10-26,SJS,ANA,@,Antti Niemi,W,34,33,60:00
92,2014-11-05,ANA,NYI,h,Jason LaBarbera,O,36,33,62:18
93,2014-11-05,NYI,ANA,@,Jaroslav Halak,W,34,32,62:15
94,2014-11-07,ANA,ARI,h,Frederik Andersen,O,25,23,64:28
95,2014-11-07,ARI,ANA,@,Mike Smith,W,39,37,65:00
96,2014-11-09,ANA,VAN,h,Frederik Andersen,O,35,34,64:59
97,2014-11-09,VAN,ANA,@,Eddie Lack,W,29,28,64:59
98,2014-11-12,ANA,LAK,h,Jason LaBarbera,W,16,14,35:40
99,2014-11-12,LAK,ANA,@,Jonathan Quick,O,49,44,64:57
100,2014-11-16,ANA,FLA,h,Frederik Andersen,L,15,11,44:11
101,2014-11-16,FLA,ANA,@,Al Montoya,W,35,33,60:00
102,2014-11-23,ANA,ARI,h,Frederik Andersen,W,27,26,60:00
103,2014-11-23,ARI,ANA,@,Mike Smith,L,30,28,59:04
104,2014-11-25,ANA,CGY,h,Frederik Andersen,W,34,32,60:00
105,2014-11-25,CGY,ANA,@,Jonas Hiller,L,29,26,57:21
106,2014-11-28,ANA,CHI,h,Frederik Andersen,L,37,34,59:11
107,2014-11-28,CHI,ANA,@,Corey Crawford,W,24,23,60:00
108,2014-12-01,ANA,BOS,h,Frederik Andersen,W,34,32,60:00
109,2014-12-01,BOS,ANA,@,Tuukka Rask,L,28,25,58:42
110,2014-12-03,ANA,PHI,h,Frederik Andersen,W,35,31,65:00
111,2014-12-03,PHI,ANA,@,Steve Mason,O,33,29,63:05
112,2014-12-10,ANA,EDM,h,Frederik Andersen,W,22,21,59:58
113,2014-12-10,EDM,ANA,@,Viktor Fasth,L,34,32,59:41
114,2014-12-22,ANA,SJS,h,Frederik Andersen,W,32,30,60:58
115,2014-12-22,SJS,ANA,@,Antti Niemi,O,32,29,60:58
116,2014-12-28,ANA,VAN,h,Frederik Andersen,W,14,13,62:39
117,2014-12-28,VAN,ANA,@,Ryan Miller,O,31,29,62:42
118,2014-12-31,ANA,SJS,h,Frederik Andersen,L,26,24,59:32
119,2014-12-31,SJS,ANA,@,Antti Niemi,W,28,28,60:00
120,2015-01-02,ANA,STL,h,Frederik Andersen,W,42,39,59:41
121,2015-01-02,STL,ANA,@,Martin Brodeur,L,33,29,58:49
122,2015-01-04,ANA,NSH,h,Frederik Andersen,W,30,27,64:40
123,2015-01-04,NSH,ANA,@,Carter Hutton,O,33,30,65:00
124,2015-01-07,ANA,NYR,h,Ilya Bryzgalov,L,29,26,59:51
125,2015-01-07,NYR,ANA,@,Henrik Lundqvist,W,25,24,59:56
126,2015-01-11,ANA,WPG,h,Frederik Andersen,W,32,28,65:00
127,2015-01-11,WPG,ANA,@,Ondrej Pavelec,O,43,39,64:55
128,2015-01-14,ANA,TOR,h,Frederik Andersen,W,28,28,59:57
129,2015-01-14,TOR,ANA,@,Jonathan Bernier,L,24,21,57:09
130,2015-01-16,ANA,NJD,h,Ilya Bryzgalov,W,15,14,60:00
131,2015-01-16,NJD,ANA,@,Keith Kinkaid,L,25,21,40:00
132,2015-01-21,ANA,CGY,h,Frederik Andersen,W,33,30,60:00
133,2015-01-21,CGY,ANA,@,Joni Ortio,L,11,7,29:26
134,2015-01-30,ANA,CHI,h,Frederik Andersen,L,33,29,60:00
135,2015-01-30,CHI,ANA,@,Corey Crawford,W,22,21,59:42
136,2015-02-03,ANA,CAR,h,Frederik Andersen,W,32,28,60:45
137,2015-02-03,CAR,ANA,@,Anton Khudobin,O,31,26,60:45
138,2015-02-15,ANA,WSH,h,John Gibson,L,28,23,58:03
139,2015-02-15,WSH,ANA,@,Justin Peters,W,33,30,60:00
140,2015-02-18,ANA,TBL,h,John Gibson,L,32,28,60:00
141,2015-02-18,TBL,ANA,@,Ben Bishop,W,25,24,60:00
142,2015-02-23,ANA,DET,h,John Gibson,W,38,35,64:44
143,2015-02-23,DET,ANA,@,Jimmy Howard,O,25,22,65:00
144,2015-02-25,ANA,OTT,h,John Gibson,L,33,31,58:18
145,2015-02-25,OTT,ANA,@,Andrew Hammond,W,25,25,59:24
146,2015-02-27,ANA,LAK,h,John Gibson,W,22,20,60:00
147,2015-02-27,LAK,ANA,@,Martin Jones,L,31,28,59:24
148,2015-03-04,ANA,MTL,h,John Gibson,W,38,37,60:00
149,2015-03-04,MTL,ANA,@,Carey Price,L,32,30,58:12
150,2015-03-06,ANA,PIT,h,Frederik Andersen,L,20,16,58:41
151,2015-03-06,PIT,ANA,@,Thomas Greiss,W,29,27,59:53
152,2015-03-15,ANA,NSH,h,John Gibson,W,27,25,60:00
153,2015-03-15,NSH,ANA,@,Pekka Rinne,L,28,24,57:21
154,2015-03-18,ANA,LAK,h,John Gibson,W,31,29,60:24
155,2015-03-18,LAK,ANA,@,Jonathan Quick,O,26,23,60:41
156,2015-03-20,ANA,COL,h,Frederik Andersen,W,24,22,61:00
157,2015-03-20,COL,ANA,@,Semyon Varlamov,O,40,37,61:25
158,2015-04-01,ANA,EDM,h,Frederik Andersen,W,23,22,60:00
159,2015-04-01,EDM,ANA,@,Ben Scrivens,L,27,22,59:58
160,2015-04-03,ANA,COL,h,John Gibson,L,22,19,58:43
161,2015-04-03,COL,ANA,@,Reto Berra,W,37,35,59:30
162,2015-04-08,ANA,DAL,h,Frederik Andersen,L,32,28,60:00
163,2015-04-08,DAL,ANA,@,Jhonas Enroth,W,19,19,59:58
164,2014-10-11,COL,MIN,h,Semyon Varlamov,L,33,31,57:08
165,2014-10-11,MIN,COL,@,Darcy Kuemper,W,30,30,59:52
166,2014-10-21,COL,FLA,h,Reto Berra,O,36,32,62:22
167,2014-10-21,FLA,COL,@,Roberto Luongo,W,33,30,62:23
168,2014-10-24,COL,VAN,h,Semyon Varlamov,W,29,26,60:00
169,2014-10-24,VAN,COL,@,Eddie Lack,L,48,41,60:00
170,2014-10-28,COL,SJS,h,Semyon Varlamov,O,51,49,64:45
171,2014-10-28,SJS,COL,@,Antti Niemi,W,33,31,65:00
172,2014-10-30,COL,NYI,h,Semyon Varlamov,W,40,40,60:00
173,2014-10-30,NYI,COL,@,Chad Johnson,L,23,18,60:00
174,2014-11-02,COL,ANA,h,Semyon Varlamov,L,33,30,57:18
175,2014-11-02,ANA,COL,@,Jason LaBarbera,W,18,16,60:00
176,2014-11-04,COL,VAN,h,Semyon Varlamov,L,37,32,60:00
177,2014-11-04,VAN,COL,@,Ryan Miller,W,22,20,59:54
178,2014-11-06,COL,TOR,h,Reto Berra,W,38,35,65:00
179,2014-11-06,TOR,COL,@,Jonathan Bernier,O,34,31,64:49
180,2014-11-20,COL,WSH,h,Reto Berra,L,23,20,58:35
181,2014-11-20,WSH,COL,@,Braden Holtby,W,29,27,60:00
182,2014-11-22,COL,CAR,h,Calvin Pickard,W,17,17,43:10
183,2014-11-22,CAR,COL,@,Cam Ward,L,35,31,58:39
184,2014-11-26,COL,CHI,h,Calvin Pickard,L,45,42,57:30
185,2014-11-26,CHI,COL,@,Corey Crawford,W,29,27,60:00
186,2014-11-29,COL,DAL,h,Calvin Pickard,W,24,22,59:53
187,2014-11-29,DAL,COL,@,Anders Lindback,L,47,42,60:00
188,2014-12-01,COL,MTL,h,Calvin Pickard,L,30,26,57:53
189,2014-12-01,MTL,COL,@,Carey Price,W,29,26,60:00
190,2014-12-09,COL,NSH,h,Calvin Pickard,L,34,33,59:03
191,2014-12-09,NSH,COL,@,Pekka Rinne,W,26,26,60:00
192,2014-12-11,COL,WPG,h,Calvin Pickard,W,33,30,65:00
193,2014-12-11,WPG,COL,@,Ondrej Pavelec,O,26,23,65:00
194,2014-12-13,COL,STL,h,Calvin Pickard,O,42,39,61:03
195,2014-12-13,STL,COL,@,Jake Allen,W,25,23,61:03
196,2014-12-23,COL,STL,h,Semyon Varlamov,W,26,26,60:00
197,2014-12-23,STL,COL,@,Jake Allen,L,31,26,39:58
198,2014-12-27,COL,CHI,h,Calvin Pickard,L,32,28,57:56
199,2014-12-27,CHI,COL,@,Corey Crawford,W,25,23,60:00
200,2014-12-31,COL,PHI,h,Semyon Varlamov,W,29,26,64:36
201,2014-12-31,PHI,COL,@,Steve Mason,O,33,29,64:21
202,2015-01-02,COL,EDM,h,Semyon Varlamov,W,28,27,65:00
203,2015-01-02,EDM,COL,@,Ben Scrivens,O,28,27,65:00
204,2015-01-04,COL,CBJ,h,Semyon Varlamov,L,27,23,58:52
205,2015-01-04,CBJ,COL,@,Curtis McElhinney,W,29,26,60:00
206,2015-01-08,COL,OTT,h,Semyon Varlamov,W,38,36,59:59
207,2015-01-08,OTT,COL,@,Robin Lehner,,12,10,33:10
208,2015-01-10,COL,DAL,h,Semyon Varlamov,W,40,37,60:00
209,2015-01-10,DAL,COL,@,Kari Lehtonen,L,30,26,58:42
210,2015-01-21,COL,BOS,h,Semyon Varlamov,W,24,22,64:23
211,2015-01-21,BOS,COL,@,Tuukka Rask,O,36,34,65:00
212,2015-01-30,COL,NSH,h,Semyon Varlamov,W,23,23,60:00
213,2015-01-30,NSH,COL,@,Marek Mazanec,L,27,25,58:44
214,2015-02-05,COL,DET,h,Semyon Varlamov,L,27,26,57:05
215,2015-02-05,DET,COL,@,Petr Mrazek,W,28,28,60:00
216,2015-02-12,COL,NYR,h,Semyon Varlamov,L,30,25,58:00
217,2015-02-12,NYR,COL,@,Cam Talbot,W,29,26,60:00
218,2015-02-14,COL,DAL,h,Semyon Varlamov,W,25,24,60:00
219,2015-02-14,DAL,COL,@,Jhonas Enroth,L,30,26,56:37
220,2015-02-16,COL,ARI,h,Semyon Varlamov,W,5,4,40:00
221,2015-02-16,ARI,COL,@,Mike McKenna,L,34,29,60:00
222,2015-02-18,COL,LAK,h,Semyon Varlamov,L,25,22,58:16
223,2015-02-18,LAK,COL,@,Jonathan Quick,W,43,42,60:00
224,2015-02-22,COL,TBL,h,Semyon Varlamov,W,32,28,60:00
225,2015-02-22,TBL,COL,@,Andrei Vasilevskiy,L,18,13,58:10
226,2015-02-28,COL,MIN,h,Semyon Varlamov,L,32,29,56:12
227,2015-02-28,MIN,COL,@,Devan Dubnyk,W,34,33,60:00
228,2015-03-04,COL,PIT,h,Semyon Varlamov,W,29,28,60:00
229,2015-03-04,PIT,COL,@,Marc-Andre Fleury,L,22,19,57:10
230,2015-03-10,COL,LAK,h,Reto Berra,,22,20,43:13
231,2015-03-10,LAK,COL,@,Jonathan Quick,W,23,21,60:00
232,2015-03-12,COL,NJD,h,Semyon Varlamov,W,24,23,64:51
233,2015-03-12,NJD,COL,@,Cory Schneider,O,29,28,65:00
234,2015-03-14,COL,CGY,h,Semyon Varlamov,W,31,29,60:00
235,2015-03-14,CGY,COL,@,Karri Ramo,L,26,23,58:33
236,2015-03-28,COL,BUF,h,Semyon Varlamov,W,38,35,60:00
237,2015-03-28,BUF,COL,@,Matt Hackett,L,10,7,37:47
238,2015-03-30,COL,EDM,h,Semyon Varlamov,L,34,32,59:15
239,2015-03-30,EDM,COL,@,Richard Bachman,W,30,29,60:00
240,2015-04-07,COL,NSH,h,Semyon Varlamov,W,42,40,59:51
241,2015-04-07,NSH,COL,@,Pekka Rinne,L,23,20,58:24
242,2015-04-09,COL,WPG,h,Reto Berra,W,41,41,65:00
243,2015-04-09,WPG,COL,@,Ondrej Pavelec,O,21,21,65:00
244,2015-04-11,COL,CHI,h,Semyon Varlamov,W,30,28,59:56
245,2015-04-11,CHI,COL,@,Scott Darling,L,24,21,59:26
246,2014-10-11,CBJ,NYR,h,Sergei Bobrovsky,W,26,24,60:00
247,2014-10-11,NYR,CBJ,@,Cam Talbot,L,23,19,58:22
248,2014-10-14,CBJ,DAL,h,Sergei Bobrovsky,L,34,31,59:14
249,2014-10-14,DAL,CBJ,@,Kari Lehtonen,W,35,33,60:00
250,2014-10-17,CBJ,CGY,h,Sergei Bobrovsky,W,31,29,59:48
251,2014-10-17,CGY,CBJ,@,Karri Ramo,L,26,23,58:22
252,2014-10-28,CBJ,OTT,h,Curtis McElhinney,L,34,29,60:00
253,2014-10-28,OTT,CBJ,@,Robin Lehner,W,38,36,60:00
254,2014-10-31,CBJ,TOR,h,Curtis McElhinney,L,27,23,60:00
255,2014-10-31,TOR,CBJ,@,Jonathan Bernier,W,29,28,59:45
256,2014-11-04,CBJ,CAR,h,Curtis McElhinney,L,36,33,58:51
257,2014-11-04,CAR,CBJ,@,Cam Ward,W,19,17,59:25
258,2014-11-08,CBJ,TBL,h,Curtis McElhinney,L,22,20,38:15
259,2014-11-08,TBL,CBJ,@,Evgeni Nabokov,W,32,28,60:00
260,2014-11-15,CBJ,SJS,h,Sergei Bobrovsky,W,37,36,59:46
261,2014-11-15,SJS,CBJ,@,Antti Niemi,L,28,26,58:30
262,2014-11-18,CBJ,DET,h,Sergei Bobrovsky,L,40,35,60:00
263,2014-11-18,DET,CBJ,@,Jimmy Howard,W,28,28,60:00
264,2014-11-21,CBJ,BOS,h,Sergei Bobrovsky,O,41,38,65:00
265,2014-11-21,BOS,CBJ,@,Niklas Svedberg,W,28,25,65:00
266,2014-11-25,CBJ,WPG,h,Sergei Bobrovsky,L,31,28,59:37
267,2014-11-25,WPG,CBJ,@,Michael Hutchinson,W,34,32,60:00
268,2014-11-28,CBJ,VAN,h,Sergei Bobrovsky,L,29,25,59:53
269,2014-11-28,VAN,CBJ,@,Ryan Miller,W,31,31,60:00
270,2014-12-01,CBJ,FLA,h,Sergei Bobrovsky,W,25,24,59:58
271,2014-12-01,FLA,CBJ,@,Al Montoya,L,23,21,58:52
272,2014-12-09,CBJ,PHI,h,Sergei Bobrovsky,W,21,19,61:58
273,2014-12-09,PHI,CBJ,@,Steve Mason,O,24,21,60:44
274,2014-12-13,CBJ,PIT,h,Sergei Bobrovsky,W,36,33,64:45
275,2014-12-13,PIT,CBJ,@,Thomas Greiss,O,27,24,63:37
276,2014-12-18,CBJ,WSH,h,Sergei Bobrovsky,O,36,31,60:42
277,2014-12-18,WSH,CBJ,@,Braden Holtby,W,26,22,60:42
278,2014-12-20,CBJ,CHI,h,Sergei Bobrovsky,W,41,39,65:00
279,2014-12-20,CHI,CBJ,@,Corey Crawford,O,19,17,64:46
280,2014-12-22,CBJ,NSH,h,Sergei Bobrovsky,L,30,26,47:13
281,2014-12-22,NSH,CBJ,@,Pekka Rinne,W,31,30,59:56
282,2014-12-27,CBJ,BOS,h,Curtis McElhinney,W,28,26,60:00
283,2014-12-27,BOS,CBJ,@,Tuukka Rask,,15,12,33:24
284,2014-12-31,CBJ,MIN,h,Sergei Bobrovsky,W,29,28,59:45
285,2014-12-31,MIN,CBJ,@,Darcy Kuemper,L,25,23,59:06
286,2015-01-10,CBJ,NYI,h,Sergei Bobrovsky,L,40,35,59:56
287,2015-01-10,NYI,CBJ,@,Chad Johnson,W,18,16,60:00
288,2015-01-14,CBJ,MTL,h,Sergei Bobrovsky,L,31,28,59:01
289,2015-01-14,MTL,CBJ,@,Carey Price,W,16,14,60:00
290,2015-01-16,CBJ,NYR,h,Sergei Bobrovsky,L,26,24,58:55
291,2015-01-16,NYR,CBJ,@,Henrik Lundqvist,W,36,35,60:00
292,2015-01-27,CBJ,WSH,h,Curtis McElhinney,W,28,25,60:00
293,2015-01-27,WSH,CBJ,@,Braden Holtby,L,30,26,59:23
294,2015-02-03,CBJ,ARI,h,Anton Forsberg,L,28,25,59:08
295,2015-02-03,ARI,CBJ,@,Mike Smith,W,31,30,60:00
296,2015-02-06,CBJ,STL,h,Curtis McElhinney,W,33,32,60:00
297,2015-02-06,STL,CBJ,@,Jake Allen,,19,16,31:34
298,2015-02-09,CBJ,LAK,h,Curtis McElhinney,L,44,40,58:15
299,2015-02-09,LAK,CBJ,@,Jonathan Quick,W,26,23,60:00
300,2015-02-13,CBJ,PHI,h,Curtis McElhinney,W,25,22,62:17
301,2015-02-13,PHI,CBJ,@,Ray Emery,O,33,29,62:04
302,2015-02-24,CBJ,BUF,h,Anton Forsberg,L,31,27,57:22
303,2015-02-24,BUF,CBJ,@,Michal Neuvirth,W,47,45,59:59
304,2015-02-26,CBJ,MTL,h,Curtis McElhinney,L,26,22,57:55
305,2015-02-26,MTL,CBJ,@,Carey Price,W,27,25,60:00
306,2015-02-28,CBJ,NJD,h,Curtis McElhinney,L,18,17,59:12
307,2015-02-28,NJD,CBJ,@,Cory Schneider,W,33,33,59:59
308,2015-03-03,CBJ,WSH,h,Sergei Bobrovsky,L,32,28,58:43
309,2015-03-03,WSH,CBJ,@,Braden Holtby,W,30,27,60:00
310,2015-03-07,CBJ,COL,h,Sergei Bobrovsky,,21,20,40:00
311,2015-03-07,COL,CBJ,@,Semyon Varlamov,W,44,44,59:51
312,2015-03-13,CBJ,EDM,h,Sergei Bobrovsky,W,35,31,65:00
313,2015-03-13,EDM,CBJ,@,Ben Scrivens,O,31,27,64:41
314,2015-03-15,CBJ,CAR,h,Sergei Bobrovsky,L,27,24,58:35
315,2015-03-15,CAR,CBJ,@,Anton Khudobin,W,24,22,59:53
316,2015-03-24,CBJ,ANA,h,Sergei Bobrovsky,W,40,37,60:00
317,2015-03-24,ANA,CBJ,@,John Gibson,L,26,22,59:10
318,2015-03-31,CBJ,NJD,h,Sergei Bobrovsky,W,26,24,60:17
319,2015-03-31,NJD,CBJ,@,Cory Schneider,O,31,28,60:37
320,2015-04-02,CBJ,NYI,h,Sergei Bobrovsky,W,28,25,65:00
321,2015-04-02,NYI,CBJ,@,Jaroslav Halak,O,39,36,65:00
322,2015-04-04,CBJ,PIT,h,Sergei Bobrovsky,W,36,33,60:00
323,2015-04-04,PIT,CBJ,@,Marc-Andre Fleury,L,34,30,59:02
324,2015-04-08,CBJ,TOR,h,Sergei Bobrovsky,W,35,35,60:00
325,2015-04-08,TOR,CBJ,@,Jonathan Bernier,,13,12,36:30
326,2015-04-10,CBJ,BUF,h,Sergei Bobrovsky,W,25,23,60:00
327,2015-04-10,BUF,CBJ,@,Anders Lindback,L,39,36,58:44
328,2014-10-08,BOS,PHI,h,Tuukka Rask,W,20,19,59:57
329,2014-10-08,PHI,BOS,@,Steve Mason,L,33,31,58:43
330,2014-10-11,BOS,WSH,h,Tuukka Rask,L,21,17,60:00
331,2014-10-11,WSH,BOS,@,Braden Holtby,W,29,29,60:00
332,2014-10-13,BOS,COL,h,Niklas Svedberg,L,30,28,59:58
333,2014-10-13,COL,BOS,@,Reto Berra,W,28,27,59:45
334,2014-10-21,BOS,SJS,h,Tuukka Rask,W,34,31,60:00
335,2014-10-21,SJS,BOS,@,Antti Niemi,L,32,28,59:18
336,2014-10-23,BOS,NYI,h,Niklas Svedberg,L,38,35,58:50
337,2014-10-23,NYI,BOS,@,Chad Johnson,W,32,30,60:00
338,2014-10-28,BOS,MIN,h,Tuukka Rask,L,42,38,58:33
339,2014-10-28,MIN,BOS,@,Niklas Backstrom,W,28,25,60:00
340,2014-11-01,BOS,OTT,h,Tuukka Rask,W,29,27,60:00
341,2014-11-01,OTT,BOS,@,Robin Lehner,L,30,26,59:16
342,2014-11-04,BOS,FLA,h,Tuukka Rask,W,19,18,63:27
343,2014-11-04,FLA,BOS,@,Roberto Luongo,O,25,23,63:27
344,2014-11-06,BOS,EDM,h,Tuukka Rask,W,26,24,60:00
345,2014-11-06,EDM,BOS,@,Ben Scrivens,L,31,27,58:30
346,2014-11-10,BOS,NJD,h,Tuukka Rask,W,28,26,60:00
347,2014-11-10,NJD,BOS,@,Cory Schneider,L,23,19,57:13
348,2014-11-15,BOS,CAR,h,Tuukka Rask,W,34,33,60:00
349,2014-11-15,CAR,BOS,@,Cam Ward,L,25,23,58:04
350,2014-11-18,BOS,STL,h,Tuukka Rask,W,33,33,60:00
351,2014-11-18,STL,BOS,@,Brian Elliott,L,17,15,57:31
352,2014-11-22,BOS,MTL,h,Tuukka Rask,L,23,21,58:03
353,2014-11-22,MTL,BOS,@,Carey Price,W,33,33,59:42
354,2014-11-24,BOS,PIT,h,Tuukka Rask,O,33,30,60:32
355,2014-11-24,PIT,BOS,@,Marc-Andre Fleury,W,29,27,60:32
356,2014-11-28,BOS,WPG,h,Tuukka Rask,W,36,35,63:39
357,2014-11-28,WPG,BOS,@,Michael Hutchinson,O,38,36,63:39
358,2014-12-11,BOS,CHI,h,Tuukka Rask,L,21,18,58:42
359,2014-12-11,CHI,BOS,@,Scott Darling,W,34,32,60:00
360,2014-12-13,BOS,OTT,h,Tuukka Rask,O,31,29,64:58
361,2014-12-13,OTT,BOS,@,Robin Lehner,W,31,29,65:00
362,2014-12-21,BOS,BUF,h,Tuukka Rask,W,28,25,61:50
363,2014-12-21,BUF,BOS,@,Jhonas Enroth,O,37,33,62:14
364,2014-12-23,BOS,NSH,h,Tuukka Rask,W,25,22,60:00
365,2014-12-23,NSH,BOS,@,Carter Hutton,L,24,20,59:23
366,2014-12-29,BOS,DET,h,Tuukka Rask,W,30,28,59:44
367,2014-12-29,DET,BOS,@,Jimmy Howard,L,44,40,59:04
