,date,team,against,home,goalie,dec,SA,SV,TOI
0,2014-10-09,ARI,WPG,h,Mike Smith,L,27,21,59:58
1,2014-10-09,WPG,ARI,@,Ondrej Pavelec,W,28,26,60:00
2,2014-10-11,ARI,LAK,h,Devan Dubnyk,W,26,24,64:46
3,2014-10-11,LAK,ARI,@,Jonathan Quick,O,40,37,64:46
4,2014-10-15,ARI,EDM,h,Mike Smith,W,27,23,60:00
5,2014-10-15,EDM,ARI,@,Ben Scrivens,L,29,23,57:43
6,2014-10-18,ARI,STL,h,Mike Smith,L,36,30,59:55
7,2014-10-18,STL,ARI,@,Jake Allen,W,25,24,60:00
8,2014-10-25,ARI,FLA,h,Mike Smith,W,24,23,62:15
9,2014-10-25,FLA,ARI,@,Roberto Luongo,O,41,39,62:20
10,2014-11-04,ARI,TOR,h,Mike Smith,W,30,28,59:48
11,2014-11-04,TOR,ARI,@,James Reimer,L,33,30,59:01
12,2014-11-08,ARI,NYI,h,Mike Smith,L,33,32,58:19
13,2014-11-08,NYI,ARI,@,Jaroslav Halak,W,19,19,60:00
14,2014-11-11,ARI,DAL,h,Mike Smith,L,32,28,58:50
15,2014-11-11,DAL,ARI,@,Kari Lehtonen,W,37,34,60:00
16,2014-11-18,ARI,WSH,h,Mike Smith,O,24,22,63:15
17,2014-11-18,WSH,ARI,@,Braden Holtby,W,24,23,63:16
18,2014-11-25,ARI,COL,h,Mike Smith,O,35,31,63:16
19,2014-11-25,COL,ARI,@,Calvin Pickard,W,25,25,52:23
20,2014-11-29,ARI,CGY,h,Devan Dubnyk,L,29,26,60:00
21,2014-11-29,CGY,ARI,@,Karri Ramo,W,26,26,60:00
22,2014-12-04,ARI,LAK,h,Mike Smith,L,20,17,35:41
23,2014-12-04,LAK,ARI,@,Martin Jones,W,26,26,59:29
24,2014-12-06,ARI,BOS,h,Devan Dubnyk,L,24,20,34:47
25,2014-12-06,BOS,ARI,@,Tuukka Rask,W,26,24,60:00
26,2014-12-11,ARI,NSH,h,Mike Smith,L,38,33,59:50
27,2014-12-11,NSH,ARI,@,Pekka Rinne,W,32,31,60:00
28,2014-12-13,ARI,MIN,h,Devan Dubnyk,O,35,32,64:49
29,2014-12-13,MIN,ARI,@,Niklas Backstrom,W,30,27,65:00
30,2014-12-16,ARI,EDM,h,Devan Dubnyk,W,32,31,64:59
31,2014-12-16,EDM,ARI,@,Ben Scrivens,O,44,42,64:54
32,2014-12-27,ARI,ANA,h,Devan Dubnyk,W,36,35,64:49
33,2014-12-27,ANA,ARI,@,Frederik Andersen,O,29,28,65:00
